Item Number,Item Description,CPT Code,Price
02384,IBUPROFEN 400MG(MOTRIN),,$3.00 
02385,IBUPROFEN 200MG(MOTRIN),,$3.00 
02395,IBUPROFEN 600MG(MOTRIN),,$3.00 
02396,ACETYLCYSTEINE 20%(per 30ml)(MUCOMYST),,$22.00 
02398,ETHAMBUTOL UNIT DOSE TA,,$4.00 
02400,MYCELEX CREAM 15 GM,,$24.00 
02401,PARoxetine HCL 10MG TABLET,,$3.00 
02402,MICONAZOLE NITRATE CREAM 2%,,$10.00 
02403,VENLAFAXINE ER 150MG (EFFEXOR),,$10.00 
02407,PAROXETINE HCL 20MG TAB(PAXIL),,$3.00 
02410,CLOTRIMAZOLE 10 MG TROCHE(MYCELEX),,$6.00 
02411,RAMIPRIL 10MG TAB(ALTACE),,$4.00 
02412,HYDROCHLOROTHIAZIDE 25MG TAB(HCTZ),,$3.00 
02413,HYDROCHLOROTHIAZIDE12.5MG CAP(HCTZ),,$3.00 
02417,RULOX SUSPENSION 30ML,,$3.00 
02418,LIPO-FLAVONOID  TAB,,$3.00 
02420,AMANTADINE 100MG(SYMMETREL),,$4.00 
02421,SERZONE 100 &150MG TAB,,$4.00 
02422,LEVOFLOXACIN 750MG/150ML RTU(LEVAQUIN),,$25.00 
02425,FLUTICASONE 50MCG NASAL SPRAY(FLONASE),,$20.00 
02426,RAMIPRIL 2.5MG TAB(ALTACE),,$4.00 
02427,GLIMEPIRIDE 2MG TAB(AMARYL),,$3.00 
02428,SIMETHICONE 80MG CHEWABLE TAB,,$3.00 
02429,QUINAPRIL 10MG TAB(ACCUPRIL),,$4.00 
02430,PRIMIDONE 50MG TAB(MYSOLINE),,$5.00 
02431,TORSEMIDE 20MG TAB(DEMADEX),,$3.00 
02432,TORSEMIDE 100MG TAB(DEMADEX),,$4.00 
02438,NAMENDA XR TAB,,$30.00 
02440,MEDROXYPROGESTERONE 10MG TAB(PROVERA),,$10.00 
02441,levoFLOXacin 250MG/50ML PREMIX IV,,$15.00 
02442,TAMSULOSIN HCL 0.4MG(FLOMAX),,$7.00 
02443,RAMIPRIL 5MG(ALTACE),,$4.00 
02445,ONDANSETRON 4MG ODT(ZOFRAN),,$10.00 
02446,ONDANSETRON HCL SOL 4MG/5ML(ZOFRAN),,$3.00 
02448,NARCAN 0.4MG/ML VIAL(NALOXONE),,$40.00 
02449,TRIMETHOPRIM 100MG,,$3.00 
02451,ELDEPRYL 5 MG TAB,,$9.00 
02453,OLANZAPINE  2.5MG TAB (ZYPREXA),,$5.00 
02454,ENALAPRIL 5MG TAB (VASOTEC),,$4.00 
02456,ENALAPRIL 10MG TAB(VASOTEC),,$5.00 
02457,LOSARTAN 25MG TAB(COZAAR),,$3.00 
02458,LOSARTAN 50MG TAB(COZAAR),,$4.00 
02459,LOSARTAN 100MG TAB(COZAAR),,$5.00 
02461,TOBRAMYCIN 80MG/2ML VIAL,,$20.00 
02463,CILOXAN OPTH SOL,,$95.00 
02464,ADENOSINE 6MG/2ML(per 2ml),J0153,$10.00 
02466,NEO-SYNEPHRINE DROPS 1/4%,,$9.00 
02467,FEXOFENADINE/PSE 60/120MG(ALLEGRA-D 12),,$4.00 
02468,NEO-SYNEPHRINE DROPS 1/2%,,$12.00 
02469,PREDNISOLONE 15MG/5ML SOLN,,$5.00 
02471,LEVALBUTEROL 0.63MG/3ML SOL(XOPENEX),,$5.00 
02472,NEO-SYNEPHRINE SPRAY 1/2% 15ML,,$10.00 
02473,ULTRAVATE OINT,,$219.00 
02474,NEOMYC-POLYM-DEXAMET EYE SUSP,,$45.00 
02477,LEVALBUTEROL1.25MG/3ML SOL(XOPENEX),,$5.00 
02478,MYLICON DROPS 5CC,,$15.00 
02479,MYLICON DROPS,,$8.00 
02481,CETIRIZINE HCL 1MG/ML LIQ(ZYRTEC),,$5.00 
02482,TRIPLE ANTIBIOTIC OINT(NEOSPORIN),,$3.00 
02483,CETIRIZINE HCL 10MG TAB(ZYRTEC),,$5.00 
02484,METAXALONE 800MG TAB(SKELAXIN),,$15.00 
02485,AZITHROMYCIN 200MG/5ML(5ml)(ZITHROMAX),,$30.00 
02487,MINERAL OIL 32 OZ BOTTLE,,$27.00 
02489,LACTULOSE 10GM/15ML SOLUTION,,$4.00 
02490,NEOSPORIN TUBE,,$10.00 
02491,LINZESS 145 MCG CAPSULE,,$35.00 
02492,NIACIN 500MG TAB,,$3.00 
02493,ACARBOSE 50MG TAB(PRECOSE),,$5.00 
02497,TRADJENTA 5 MG TABLET,,$35.00 
02498,DILTIAZEM 120MG CD CAP(CARDIZEM CD),,$4.00 
02500,NITRO PASTE 2% OINT,,$5.00 
02501,ESTRADIOL 2MG TAB(ESTRACE),,$4.00 
02502,GABAPENTIN 100MG(NEURONTIN),,$4.00 
02503,GABAPENTIN 300MG(NEURONTIN),,$5.00 
02504,CARVEDILOL 3.125MG TAB(COREG),,$3.00 
02505,NITROSTAT 0.4MG TAB SL(NITROGLYCERIN),,$4.00 
02506,TRAMADOL HCL 50MG (ULTRAM),,$3.00 
02507,NEOMYCIN 500 MG TAB,,$7.00 
02508,GABAPENTIN 400MG(NEURONTIN),,$5.00 
02510,VITAMIN C 500MG TAB,,$3.00 
02512,NORFLEX 100MG TAB(ORPHENADRINE),,$5.00 
02514,SERZONE 100MG & 150MG,,$4.00 
02517,CARVEDILOL 6.25MG TAB(COREG),,$3.00 
02518,NORPACE UNIT DOSE CAPSULES,,$3.00 
02519,CARVEDILOL 12.5MG TAB(COREG),,$3.00 
02520,TEGRETOL SUSP 1TSP,,$3.00 
02521,LEVOFLOXACIN 500MG/100ML RTU(LEVAQUIN),,$20.00 
02523,SOTALOL 80MG TAB,,$7.00 
02524,GLYNASE 3MG OR 6MG,,$4.00 
02525,PALGIE DS 1TSP,,$3.00 
02526,MIDODRINE  5MG TAB (ProAmatine),,$4.00 
02527,TOLTERODINE TARTRATE 2MG TAB(DETROL),,$3.00 
02528,VENLAFAXINE  ER 37.5MG (EFFEXOR),,$10.00 
02529,"NYSTATIN 100,000 UNIT/ML SUSP",,$3.00 
02530,NALBUPHINE 10MG/ML INJ(NUBAIN),J2300,$20.00 
02531,LAMISIL  AT 1% CREAM 15GM,,$15.00 
02532,VENLAFAXINE ER 75MG (EFFEXOR),,$10.00 
02533,MIACALCIN SPRAY,,$170.00 
02534,NUPERCAINAL OINTMENT 30GM,,$21.00 
02536,CARVEDILOL 25MG TAB(COREG),,$3.00 
02538,BENZOIN TINCTURE 1 APPLICATION,,$3.00 
02539,PHOSLO 667MG CAP(CALCIUM ACETATE),,$5.00 
02546,VALSARTAN-HCTZ 320-25MG TAB(DIOVAN/HCT),,$12.00 
02548,OS-CAL TABLETS EA,,$3.00 
02549,TRIESENCE(TRIAMCINOLONE ACETON.)40MG/ML,J3300,$438.00 
02550,TEFLARO 600MG,,$435.00 
02551,FLORINEF 0.1MG TAB(FLUDROCORTISONE),,$3.00 
02552,METOPROLOL SUCC 25MG TAB(TOPROL XL),,$4.00 
02553,MONTELUKAST 5MG CHEW(SINGULAIR),,$10.00 
02554,MONTELUKAST 10MG(SINGULAIR),,$10.00 
02555,VALTREX 1GM TAB(VALACYCLOVIR),,$6.00 
02556,METOPROLOL SUCC 50MG(TOPROL XL),,$5.00 
02557,BETAPACE 80MG TAB(SOTALOL),,$7.00 
02558,METOPROLOL SUCC 100MG(TOPROL XL),,$6.00 
02559,NORTRIPTYLINE  25MG CAP (PAMALOR),,$3.00 
02560,METHERGINE O.2MG PO,,$3.00 
02561,CALCIUM 600-VIT D3-200 TAB,,$3.00 
02562,POLY HIST FORTE TAB,,$4.00 
02563,FARXIGA 5MG TAB,,$45.00 
02564,FARXIGA 10MG TAB,,$45.00 
02565,VALSARTAN-HCTZ 320-12.5MG TAB(DIOVAN/HCT,,$12.00 
02568,FAMVIR 500 MG TAB,,$24.00 
02569,VITAMIN E 400 UNIT CAP,,$3.00 
02570,ARTIFICIAL TEARS DROPS,,$5.00 
02571,DONEPEZIL HCL 5MG TAB(ARICEPT),,$3.00 
02573,PENICILLIN G 5 MIL V,,$17.00 
02575,PENICILLIN G 1 MIL V,,$15.00 
02578,ALPRAZOLAM 0.25MG TAB(XANAX),,$3.00 
02580,VALSARTAN 160MG TAB(DIOVAN),,$5.00 
02581,VALSARTAN-HCTZ 160-12.5MG TAB(DIOVAN-HCT,,$12.00 
02582,PERI-COLACE EA,,$3.00 
02584,VISKIN 5MG PO,,$3.00 
02585,PERIACTIN SYRUP 5ML,,$3.00 
02587,VALSARTAN 320MG TAB(DIOVAN),,$12.00 
02588,CYPROHEPTADINE 4MG TAB(PERIACTIN),,$3.00 
02589,DONEPEZIL 10MG TAB(ARICEPT),,$3.00 
02590,RISPERIDONE 1MG TAB (RISPERDAL),,$9.00 
02591,LORATADINE 10MG (CLARITIN),,$3.00 
02592,BACLOFEN 10MG TAB,,$3.00 
02593,PEROXIDE,,$3.00 
02595,DESITIN OINT,,$10.00 
02596,TYLENAL SUPP ALL MG,,$3.00 
02598,BACLOFEN 20MG TAB,,$3.00 
02600,CITALOPRAM 20MG TAB(CELEXA),,$3.00 
02602,CLOPIDOGREL 75MG TAB(PLAVIX),,$5.00 
02604,PHAZYME TABLETS EA,,$3.00 
02606,PROMETHAZINE 25MG/ML INJ (PHENERGAN),,$10.00 
02607,GABAPENTIN 600MG(NEURONTIN),,$6.00 
02608,PROMETHAZINE 50MG/ML INJ  (PHENERGAN),J2550,$10.00 
02609,GABAPENTIN 800MG(NEURONTIN),,$6.00 
02610,IRBESARTAN 300MG TAB(AVAPRO),,$5.00 
02611,IRBESARTAN 150MG TAB(AVAPRO),,$3.00 
02612,ZITHROMAX LIQUID 5CC,,$35.00 
02615,PREMARIN 0.3MG TAB,,$10.00 
02616,PROMETHAZINE 12.5MG SUPP (PHENERGAN),,$25.00 
02618,PROMETHAZINE 25MG SUPP (PHENERGAN),,$25.00 
02619,PYRIDOXINE 50MG TAB,,$3.00 
02621,LOSARTAN-HCTZ 50-12.5MG TAB(HYZAAR),,$8.00 
02622,PROMETHAZINE 6.25MG/5ML SYR (PHENERGAN),,$3.00 
02623,LOSARTAN-HCTZ 100-12.5MG TAB(HYZAAR),,$8.00 
02624,OXYCODONE ER 10MG (OXYCONTIN),,$6.00 
02625,MESALAMINE DR 400 MG CAP(ASACOL),,$20.00 
02626,MENEST 0.625 MG TABLET,,$3.00 
02627,LOSARTAN-HCTZ 100-25MG TAB(HYZAAR),,$8.00 
02628,PYRIDOXINE B-6 TAB &B12 TAB,,$3.00 
02629,COUGH DM ER 30MG/5ML (DELSYM),,$3.00 
02630,SHOHLS SOL 30CC TSP,,$3.00 
02631,CHLORTHALIDONE 25MG TAB(HYGROTON),,$5.00 
02632,MS CONTIN 15 MG TAB,,$5.00 
02635,RISPERIDONE 2MG TAB (RISPERDAL),,$15.00 
02641,PHENobarbital 20MG/5ML ELIX,,$5.00 
02642,PHENOBARBITAL INJ UP TO 120 MG,J2560,$8.00 
02644,PHENobarbital 32.4MG TAB,,$5.00 
02645,PHENobarbital 16.2MG TAB,,$5.00 
02646,NASONEX SPRAY,,$255.00 
02647,LEVALBUTEROL 0.31MG/3ML SOL(XOPENEX),,$5.00 
02648,UNIVASC 15MG TAB,,$5.00 
02649,CARBIDOPA/LEVODOP 10-100MG TAB(SINEMET),,$3.00 
02652,CELECOXIB 200MG CAP(CELEBREX),,$15.00 
02653,AMLODIPINE-BENAZEPRIL 5-10MG(LOTREL),,$5.00 
02654,ZOFRAN 4MG TAB(ONDANSETRON),,$5.00 
02655,TYLENOL PM TAB,,$3.00 
02656,busPIRone HCL 15 MG TABLET,,$5.00 
02661,"NYSTATIN 100,000 UNITS/GM OINT",,$35.00 
02662,PITOCIN INJ UP TO 10U(OXYTOCIN),J2590,$12.00 
02663,METOCLOPRAMIDE 5MG/5ML(REGLAN)(5ML),,$5.00 
02664,RANITIDINE 75MG/5ML LIQ (ZANTAC),,$3.00 
02666,ENOXAPARIN 40MG(LOVENOX),J1650,$30.00 
02667,POISON BOX,,$15.00 
02668,ENOXAPARIN 60MG(LOVENOX),J1650,$40.00 
02669,CITALOPRAM 10MG TAB(CELEXA),,$3.00 
02671,BISOPROLOL-HCTZ 2.5-6.25MG (ZIAC),,$4.00 
02672,AMOXICILLIN 250MG CAP,,$3.00 
02673,BISOPROLOL-HCTZ 5-6.25MG (ZIAC),,$5.00 
02674,AMOXICILLIN 500MG CAP,,$3.00 
02675,BISOPROLOL-HCTZ 10-6.25MG (ZIAC),,$7.00 
02676,EVISTA 60MG TAB,,$14.00 
02677,ENOXAPARIN 80MG(LOVENOX),J1650,$50.00 
02678,AMOXICILLIN 125MG/5ML(5ml),,$5.00 
02680,AMOXICILLIN 250MG/5ML(5ml),,$5.00 
02682,PRANDIN 1MG TAB,,$4.00 
02684,SULAR 10MG P O,,$4.00 
02685,MAG-OX 400MG TAB,,$3.00 
02686,POLYCILLIN N INJECTION 250 MG,,$15.00 
02687,SWEEN CREAM,,$19.00 
02688,POLYCILLIN N INJECTION 125MG,,$15.00 
02689,CARDURA 8 MG,,$4.00 
02690,POLYCILLIN INJ 500MG (AMPICILLIN SODIUM),J0290,$15.00 
02692,AMPICILLIN 2 GM VIAL,,$10.00 
02693,UROGESIC-BLUE TAB,,$15.00 
02695,SINEMET CR 50/200,,$7.00 
02697,"JANUMET 50-1,000MG TAB",,$15.00 
02698,PREDNISONE 1MG TAB,,$5.00 
02699,DOXAZOSIN 8MG TAB(CARDURA),,$4.00 
02701,IMITREX 25MG TAB(SUMATRIPTAN SUCC),,$10.00 
02706,POTASSIUM CITRATE ER 10MEQ TAB(UROCIT-K),,$6.00 
02707,ACTIGALL 300 MG TAB,,$10.00 
02708,QUETIAPINE 300MG (SEROQUEL),,$3.00 
02709,ZOLPIDEM 10MG TAB(AMBIEN),,$10.00 
02710,QUETIAPINE  25MG TAB (SEROQUEL),,$8.00 
02711,QUETIAPINE  50MG TAB (SEROQUEL),,$9.00 
02712,QUETIAPINE 100MG TAB (SEROQUEL),,$7.00 
02713,QUETIAPINE  200MG TAB (SEROQUEL),,$8.00 
02714,QUETIAPINE  400MG TAB (SEROQUEL),,$10.00 
02715,ORTHO-NOVEUM 1/35 TAB,,$4.00 
02717,PRAVASTATIN  20MG TAB,,$6.00 
02718,pravastatin SODIUM 40MG TAB,,$7.00 
02719,SALSALATE TAB,,$3.00 
02720,POTASSIUM CL 2MEQ/ML VIAL,,$7.00 
02721,METHOTREXATE 2.5MG TAB,,$5.00 
02722,pravastatin SODIUM 80MG TAB,,$10.00 
02724,ALPRAZOLAM 0.5MG TAB(XANAX),,$3.00 
02725,ALPRAZOLAM 1MG TAB(XANAX),,$5.00 
02727,AVANDIA 8MG TAB,,$15.00 
02728,AUGMENTIN 200MG/5ML 1TSP,,$18.00 
02730,MS CONTIN 30 MG TAB,,$5.00 
02731,PREDNISONE 5MG TAB,,$5.00 
02732,PREDNISONE 10MG TAB,,$5.00 
02733,PREDNISONE 20MG TAB,,$6.00 
02734,LEVOFLOXACIN 500MG TAB(LEVAQUIN),,$5.00 
02736,AK-SPORE OTTIC 1 BOTTLE,,$63.00 
02737,ZEBETA 5MG TAB(BISOPROLOL FUMARATE),,$7.00 
02738,ZEBETA 10MG TAB(BISOPROLOL FUMARATE),,$7.00 
02740,PREMARIN 1.25MG TAB,,$15.00 
02742,PREPARATION-H(HEMORRHOIDAL)OINT,,$15.00 
02743,MIRTAZAPINE 45MG TAB(REMERON),,$10.00 
02744,MIRTAZAPINE 30MG TAB(REMERON),,$9.00 
02745,MIRTAZAPINE 15MG TAB(REMERON),,$8.00 
02746,PRAMIPEXOLE 0.25MG(MIRAPEX),,$6.00 
02747,PIOGLITAZONE 45MG(ACTOS),,$19.00 
02748,PRAMIPEXOLE 0.5MG(MIRAPEX),,$6.00 
02749,PRAMIPEXOLE 1MG(MIRAPEX),,$6.00 
02751,PROPANTHELINE BROMIDE TABLET,,$3.00 
02752,MEGESTROL 20MG TAB(MEGACE),,$5.00 
02753,URISED TAB,,$3.00 
02754,RENAGEL TAB,,$8.00 
02755,NEPHRO-VITE TAB(PRO RENAL),,$3.00 
02756,HEPATITIS B INJ 1 CC(GAMMA GLOBULIN),J1460,$450.00 
02757,Ketoconazole 2% Shampoo,,$30.00 
02758,ACTIVASE INJ 1 MG (ALTEPLASE RECOMBINANT,J2997,$245.00 
02760,BUDESONIDE 0.25MG/2ML NEB(PULMICORT),,$20.00 
02761,TAMIFLU 6MG/ML (60ML),,$435.00 
02763,TAMIFLU 30MG CAP(OSELTAMIVIR),,$40.00 
02764,TAMIFLU 45MG CAP(OSELTAMIVIR),,$40.00 
02765,TAMIFLU 75MG CAP(OSELTAMIVIR),,$40.00 
02766,VALSARTAN 80MG TAB(DIOVAN),,$12.00 
02767,ELIQUIS 5MG TAB,,$15.00 
02768,ELIQUIS 2.5MG TAB,,$15.00 
02770,ZYVOX 600MG TAB,,$315.00 
02771,PROVENTIL REPETABS 4MG,,$3.00 
02774,MEDROXYPROGESTERONE 5MG TAB(PROVERA),,$5.00 
02776,AMLODIPINE-BENAZEPRIL 10-40MG(LOTREL),,$3.00 
02777,AMLODIPINE-BENAZEPRIL 10/20MG(LOTREL),,$7.00 
02778,NICOTINE 7MG/24HR TD,,$10.00 
02779,NICOTINE 14MG/24HR TD,,$10.00 
02780,GAVILAX 17GM POWDER(MIRALAX),,$5.00 
02781,NICOTINE 21MG/24HR TD,,$10.00 
02782,SALT TAB(SOD CHL),,$3.00 
02783,AZITHROMYCIN 100MG/5ML(5ML)(ZITHROMAX),,$30.00 
02784,PHENAZOPYRIDINE 100MG(PYRIDIUM),,$8.00 
02785,AMOXICILLIN/POT CLAV 875MG(AUGMENTIN),,$19.00 
02786,QUIBRON EACH,,$3.00 
02787,CEFUROXIME AXETIL 500MG(CEFTIN),,$15.00 
02789,OXYCODONE IR 5MG(OXY-IR),,$3.00 
02790,OXYCODONE IR 10MG(OXY-IR),,$3.00 
02791,"NYSTATIN  100,000 UNIT CREAM",,$35.00 
02792,rOPINIRole HCL ER 2 MG TABLET,,$10.00 
02793,SILVER NITRATE STICKS,,$3.00 
02794,PIOGLITAZONE 15MG(ACTOS),,$10.00 
02795,METOCLOPRAMIDE 5MG TAB(REGLAN),,$3.00 
02796,METOCLOPRAMIDE 10MG TAB(REGLAN),,$5.00 
02798,METOCLOPRAMIDE 10MG/2ML VIAL(REGLAN),J2765,$5.00 
02801,FENOFIBRATE 160MG TAB(TRICOR),,$6.00 
02802,CILOSTAZOL 50MG TAB(PLETAL),,$7.00 
02803,OXYCODONE ER 20MG (OXYCONTIN),,$6.00 
02804,REVATIO 20MG TAB,,$3.00 
02805,FENOFIBRATE 145MG TAB(TRICOR),,$5.00 
02806,TEMAZEPAM 15MG (RESTORIL),,$5.00 
02807,CILOSTAZOL 100MG TAB(PLETAL),,$8.00 
02808,FENOFIBRATE 134MG CAP(TRICOR),,$6.00 
02809,FINASTERIDE 5MG TAB(PROSCAR),,$8.00 
02810,STADOL NASAL SPRAY,,$50.00 
02812,METHOCARBAMOL 500MG TAB(ROBAXIN),,$5.00 
02813,METHOCARBAMOL 750MG TAB(ROBAXIN),,$5.00 
02814,PROLEX DH OR DM 1 TSP,,$3.00 
02815,FIBERCON TAB,,$3.00 
02816,ROBAXIN 10 ML/MG,J2800,$12.00 
02817,INVERMECTIN 3MG TAB,,$15.00 
02818,RECOLTROL 0.25MG TAB,,$5.00 
02819,EMETROL 5CC 1 TSP,,$3.00 
02820,ROBINUL INJ VIAL 0.2MG,,$15.00 
02821,AGGRENOX 25-200MG CAP,,$35.00 
02824,GUAIFEN-CODEINE 100-10MG/5 ML,,$5.00 
02827,CEFTIN 125 MG BOTTLE,,$138.00 
02828,ROBITUSSIN DAC SYRUP 5,,$3.00 
02830,TUSSIN DM COUGH 10MG-100MG/5ML,,$5.00 
02831,CEFTRIAXONE 250MG IV/IM (ROCEPHIN),J0696,$10.00 
02832,PROPYLTHIOURACIL TAB,,$3.00 
02834,RYTHMOL 150MG TAB,,$4.00 
02835,HYDROMORPHONE 2MG/ML INJ(DILAUDID),J1170,$5.00 
02841,BENTYL 20MG/2ML(2ml),J0500,$225.00 
02843,RUBELLA VACCINE,,$155.00 
02844,LOPRESSOR HCT 100/25,,$5.00 
02845,TAPAZOLE 10 MG TAB,,$4.00 
02846,FLOXIN EAR DROPS,,$135.00 
02847,PRADAXA 75&150MG,,$15.00 
02848,ESZOPICLONE 3 MG TABLET,,$5.00 
02849,LEVOCETIRIZINE 5MG TAB (XYZAL),,$5.00 
02850,XYZAL 5MG,,$5.00 
02853,BIRTH CONTROL TAB,,$4.00 
02855,NIMBEX 2MG LIDOCAINE PATCH,,$49.00 
02856,NICARDIPINE 25MG/10ML VIAL(CARDENE),,$60.00 
02858,BIRTH CONTROL PILLS,,$5.00 
02860,PREDNESILONE OPTH OINT,,$139.00 
02861,PIOGLITAZONE 30MG(ACTOS),,$17.00 
02863,KEFLEX ORAL DOSE,,$3.00 
02864,SERAX REDIPAK CAPSULES 15MG,,$3.00 
02865,GLUCOSE 15 GEL(ORAL GLUCOSE),,$10.00 
02866,AMERGE 2.5 MG TAB,,$63.00 
02867,MELOXICAM 7.5MG(MOBIC),,$7.00 
02868,MELOXICAM 15MG(MOBIC),,$7.00 
02870,HISTEX PD 1 DOSE,,$3.00 
02872,SILVADENE CREAM 50GM,,$24.00 
02873,TIZANIDINE HCL 4MG TAB (ZANAFLEX),,$5.00 
02874,SILVADENE CREAM 400GM,,$108.00 
02875,MAVIK 1 MG,,$4.00 
02876,CARBIDOPA/LEVODOPA 25-100 TAB(SINEMET),,$4.00 
02877,CARBIDOPA-LEVODOPA  25-250 TAB(SINEMET),,$4.00 
02879,FENOBIBRATE 48MG TAB (TRICOR),,$3.00 
02880,DOXEPIN 50MG CAP(SINEQUAN),,$4.00 
02881,BETAPACE 120MG TAB(SOTALOL),,$3.00 
02882,LUVOX TABS,,$12.00 
02884,DOXEPIN 10MG CAP(SINEQUAN),,$3.00 
02885,SODIUM BICCARB 8.4%,,$30.00 
02887,SODIUM BICARBONATE 4.2% SYRINGE,,$30.00 
02888,SODIUM BICARBONATE 8.4%,,$25.00 
02892,SODIUM SULAMYD OPHTHAL 3.5 GM,,$32.00 
02893,IRBESARTAN-HCTZ 150-12.5 MG TB,,$25.00 
02894,SODIUM SULAMYD OPHTHAL,,$22.00 
02895,I CAR C PLUS TAB,,$3.00 
02897,RHINOCORT NASAL SPRAY,,$184.00 
02899,ENOXAPARIN 100MG(LOVENOX),J1650,$60.00 
02900,SOLU-MEDROL 125MG INJ,,$25.00 
02902,SOLU-MEDROL 40MG INJ,,$20.00 
02903,METFORMIN ER 500MG TAB(GLUCOPHAGE),,$5.00 
02905,TELMISARTAN 40MG TAB(MICARDIS),,$5.00 
02906,CARISOPRODOL 350MG TAB(SOMA),,$3.00 
02907,TELMISARTAN 80MG TAB(MICARDIS),,$5.00 
02908,OFLOXACIN 0.3% OPTH  5ML,,$50.00 
02910,TARKA 1/240MG TAB,,$7.00 
02912,SORBITOL 70% SOLUTION,,$4.00 
02914,MESTINON TAB,,$3.00 
02916,QVAR 80MCG INHALER,,$187.00 
02917,LEVOTHYROXINE 125MCG (SYNTHROID),,$5.00 
02920,CETACAINE SPRAY (SMALL AMOUNT),,$7.00 
02924,PANTOPRAZOLE 40MG VIAL (PROTONIX),,$20.00 
02926,BUDESONIDE 0.5MG/2ML NEB(PULMICORT),,$20.00 
02927,SPORANOX 100MG,,$28.00 
02930,METROGEL VAG CRM TUBE,,$125.00 
02931,PANTOPRAZOLE 40MG TAB  (PROTONIX),,$5.00 
02932,FENTANYL 100MCG/2ML INJ,,$5.00 
02933,QVAR 80MCQ INHALER,,$195.00 
02934,PIROXICAM 10MG CAP(FELDENE),,$20.00 
02935,MAG CHLOR TAB,,$3.00 
02936,TOPIRAMATE 100MG(TOPAMAX),,$8.00 
02937,TOPIRAMATE 50MG(TOPAMAX),,$8.00 
02938,TOPIRAMATE 25MG(TOPAMAX),,$8.00 
02939,SILVADENE 1% CREAM 25GM,,$15.00 
02940,QUVAR INHALER,,$32.00 
02941,TNKASE 50MG KIT,J3101,"$17,000.00 "
02943,INTEGRILIN 75MG/100ML IV(EPTIFIBATIDE),J1327,"$1,000.00 "
02945,INTEGRILIN 20MG/10ML IV(EPTIFIBATIDE),J1327,$300.00 
02946,GALANTAMINE ER 16 MG CAPSULE,,$10.00 
02947,ENOXAPARIN 30MG(LOVENOX),J1650,$20.00 
02948,PROCRIT OR EPO INJ PER 10000 UNITS,J0886,$441.00 
02949,TINACTIN POWDER,,$10.00 
02950,SYMMETREL LIQ 5ML,,$5.00 
02951,SUSPHRINE INJ 0.3ML,,$23.00 
02952,OXCARBAZEPINE 300MG TAB (TRILEPTAL),,$10.00 
02953,OXCARBAZEPINE 600MG TAB (TRILEPTAL),,$4.00 
02955,BENGAY CREAM 60GM,,$12.00 
02957,TETRACYCLINE 500MG,,$3.00 
02959,LATANOPROST OPHT SOL(pt med),,$15.00 
02963,MURO 128 5% EYE DROPS,,$42.00 
02964,STARLIX 120 MG TAB,,$3.00 
02965,GALANTAMINE HYDROBROMIDE ER 16MG,,$6.50 
02966,KETOCONAZOLE CRM,,$49.00 
02967,DIOVAN/HCT 160/12.5MG,,$12.00 
02968,VALSARTAN-HCTZ 160-25MG TAB(DIOVAN/HCT),,$12.00 
02969,FLECAINIDE 50MG TAB(TAMBECOR),,$3.00 
02970,TENEX 1MG,,$3.00 
02971,LABETALOL 100MG/20ML INJ(TRANDATE),,$10.00 
02974,PREMARIN INJECTION,,$180.00 
02975,TEARS NATURAL,,$25.00 
02976,CARBAMAZEPINE 200MG TAB(TEGRETOL),,$4.00 
02977,LIDOCAINE 1% 20ML INj(XYLOCAINE),J2001,$3.00 
02978,MEPERIDINE/PROMETHAZINE(50/25),,$20.00 
02979,MEPERIDINE/PROMETHAZINE(50/50),J2175,$20.00 
02980,BENICAR 20MG TAB(OLMESARTAN),,$15.00 
02981,MEPERIDINE/PROMETHAZINE(25/25),,$20.00 
02982,ROPINIROLE HCL 3MG TAB (REQUIP),,$4.00 
02983,ATENOLOL/CHLORTHALIDONE 50/25(TENORETIC),,$4.00 
02984,CROFAB VIAL(ea vial),J0840,"$7,900.00 "
02985,AGRYLIN 1MG CAP(ANAGRELIDE),,$27.00 
02986,ROPINIROLE HCL 2MG TAB (REQUIP),,$4.00 
02987,ROPINIROLE HCL 1MG TAB (REQUIP),,$4.00 
02988,BENZONATATE 100MG CAP(TESSALON PEAR),,$6.00 
02989,BLOOD COLLECTION SET,,$12.00 
02992,TETANUS-USE 8722 NEW#,90718,$12.00 
02994,NASACORT AQ SPRAY,,$177.00 
02995,FLUCELVAX QUAD 0.5ML VACCINE,90661,$50.00 
02996,MEGESTROL ACET 40MG/ML SUSP(MEGACE),,$3.00 
02997,ACTONEL 5 MG PO,,$6.00 
02998,RIVASTIGMINE 1.5MG CAP,,$7.00 
02999,ROPINIROLE HCL 0.25MG TAB (REQUIP),,$4.00 
03000,THIAMINE 200MG/2ML VIAL (VIT B-1),,$15.00 
03001,ZINC OXIDE 20% OINTMENT,,$15.00 
03002,PROAMITINE 5 MG TAB,,$8.00 
03003,THIAMINE (B-1)100MG TAB,,$3.00 
03006,THORAZINE INJECTION 1,,$12.00 
03007,LAMISIL 250MG TAB(TERBINAFINE),,$3.00 
03012,HYDROXYCHLOROQUINE 200MG(PLAQUENIL),,$5.00 
03013,OLANZAPINE  5MG TAB (ZYPREXA),,$5.00 
03014,SODIUM BICARBONATE 650MG TAB,,$3.00 
03015,FEXOFENADINE 180MG TAB(ALLEGRA),,$6.00 
03016,EZETIMIBE 10MG(ZETIA),,$22.00 
