CDM Item Number,Revenue Code,Service ID,Service Description,Gross Charge,Discounted Cash Price,Minimum Negotiated Charge,Maximum Negotiated Charge,Payer Negotiated Charge: BCBS of AL,Payer Negotiated Charge: Cigna ,Payer Negotiated Charge: Cigna Medicare Adv,Payer Negotiated Charge: Simpra Advantage Inc MCR Adv (Plan: All),Payer Negotiated Charge: Tricare ,Payer Negotiated Charge: United Healthcare,Payer Negotiated Charge: VIVA,
18283013,302,83013,BREATH PYLORI-DON'T USE RW,229,114.5,84.73,114.5,84.73,107.63,91.6,91.6,107.63,107.63,91.6,
8243776,302,86622,BRUCELLA ABORTUS TIT,55,27.5,20.35,27.5,20.35,25.85,22,22,25.85,25.85,22,
8247470,302,86161,C1 ESTERASE FUNCTION,73,36.5,27.01,36.5,27.01,34.31,29.2,29.2,34.31,34.31,29.2,
8286332,302,86332,C1Q IMMUNE COMPLEXES,39,19.5,14.43,19.5,14.43,18.33,15.6,15.6,18.33,18.33,15.6,
8263428,302,86160,C3 COMPLEMENT,73,36.5,27.01,36.5,27.01,34.31,29.2,29.2,34.31,34.31,29.2,
8263436,302,86160,C4 COMPLEMENT,73,36.5,27.01,36.5,27.01,34.31,29.2,29.2,34.31,34.31,29.2,
8248114,302,86304,CA 125 (29256),86,43,31.82,43,31.82,40.42,34.4,34.4,40.42,40.42,34.4,
8286300,302,86300,CA 15-3 (5819),86,43,31.82,43,31.82,40.42,34.4,34.4,40.42,40.42,34.4,
8244266,302,86301,CA 19-9 (4698),86,43,31.82,43,31.82,40.42,34.4,34.4,40.42,40.42,34.4,
8244166,302,86300,CA 27.29,86,43,31.82,43,31.82,40.42,34.4,34.4,40.42,40.42,34.4,
8286611,302,86611,CAT SCRATCH ANITBODY,77,38.5,28.49,38.5,28.49,36.19,30.8,30.8,36.19,36.19,30.8,
8249002,302,86360,CD4/CD8 RATIO & COUNT,277,138.5,102.49,138.5,102.49,130.19,110.8,110.8,130.19,130.19,110.8,
8242646,302,86162,CH50 (618),121,60.5,44.77,60.5,44.77,56.87,48.4,48.4,56.87,56.87,48.4,
8886235,302,86235,CHROMATIN 34088,82,41,30.34,41,30.34,38.54,32.8,32.8,38.54,38.54,32.8,
8263543,302,86635,COCCIDIOIDES ANTIBODY,69,34.5,25.53,34.5,25.53,32.43,27.6,27.6,32.43,32.43,27.6,
8286161,302,86161,COMP C1 (981),74,37,27.38,37,27.38,34.78,29.6,29.6,34.78,34.78,29.6,
8286160,302,86160,COMPLEMENT C2,44,22,16.28,22,16.28,20.68,17.6,17.6,20.68,20.68,17.6,
82086160,302,86160,COMPLEMENT C4,44,22,16.28,22,16.28,20.68,17.6,17.6,20.68,20.68,17.6,
8243107,302,86140,"CRP, QUANTITATIVE",32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
8240059,302,86645,CYTOMEG  IGM 8503,101,50.5,37.37,50.5,37.37,47.47,40.4,40.4,47.47,47.47,40.4,
8240058,302,86644,CYTOMEG (CMV) IGG 6732,380,190,140.6,190,140.6,178.6,152,152,178.6,178.6,152,
8243743,302,86663,EBV EARLY ANTIGEN 15447,80,40,29.6,40,29.6,37.6,32,32,37.6,37.6,32,
8286971,302,86971,ENZYME ANTIBODY ID,194,97,71.78,97,71.78,91.18,77.6,77.6,91.18,91.18,77.6,
8263824,302,86780,FTA ABS 4112,80,40,29.6,40,29.6,37.6,32,32,37.6,37.6,32,
8244511,302,86677,H PYLORI ANTIBODY,86,43,31.82,43,31.82,40.42,34.4,34.4,40.42,40.42,34.4,
8244778,302,86677,H PYLORI RAPID UREASE,86,43,31.82,43,31.82,40.42,34.4,34.4,40.42,40.42,34.4,
8243354,302,87517,HBV DNA QUANT 8369,87,43.5,32.19,43.5,32.19,40.89,34.8,34.8,40.89,40.89,34.8,
8283891,302,81256,HEMOCHROM 35079,17,8.5,6.29,8.5,6.29,7.99,6.8,6.8,7.99,7.99,6.8,
8242570,302,86708,HEP A PROFILE 36504,74,37,27.38,37,27.38,34.78,29.6,29.6,34.78,34.78,29.6,
8255283,302,86704,HEP B  CORE AB 37676,54,27,19.98,27,19.98,25.38,21.6,21.6,25.38,25.38,21.6,
8243362,302,86317,HEP B SURFACE AB 8475,60,30,22.2,30,22.2,28.2,24,24,28.2,28.2,24,
8286803,302,86803,HEP C AB 8472,76,38,28.12,38,28.12,35.72,30.4,30.4,35.72,35.72,30.4,
8264087,302,86309,HETEROPHILE,39,19.5,14.43,19.5,14.43,18.33,15.6,15.6,18.33,18.33,15.6,
8264095,302,86698,HISTOPLASMA,75,37.5,27.75,37.5,27.75,35.25,30,30,35.25,35.25,30,
8286698,302,86698,HISTOPLASMA SERUM 938,66,33,24.42,33,24.42,31.02,26.4,26.4,31.02,31.02,26.4,
8287385,302,87385,HISTOPLASMA URINE 91212,165,82.5,61.05,82.5,61.05,77.55,66,66,77.55,77.55,66,
8243917,302,87806,HIV 1&2  ANTIBODY/ANTIGEN COMBO,123,61.5,45.51,61.5,45.51,57.81,49.2,49.2,57.81,57.81,49.2,
8244634,302,86812,HLA B27 (15584),152,76,56.24,76,56.24,71.44,60.8,60.8,71.44,71.44,60.8,
8200022,302,86695,HSV 1 & 2 6447,62,31,22.94,31,22.94,29.14,24.8,24.8,29.14,29.14,24.8,
8200023,302,86696,HSV 1&2 CHARGE,91,45.5,33.67,45.5,33.67,42.77,36.4,36.4,42.77,42.77,36.4,
8247667,302,86340,IFBA,90,45,33.3,45,33.3,42.3,36,36,42.3,42.3,36,
8247322,302,86334,IMMUNOFIXATION 549,132,66,48.84,66,48.84,62.04,52.8,52.8,62.04,62.04,52.8,
8264285,302,86337,INSULIN ANTIBODY,127,63.5,46.99,63.5,46.99,59.69,50.8,50.8,59.69,59.69,50.8,
82486235,302,86235,JO-1 ANTIBODY 5810,82,41,30.34,41,30.34,38.54,32.8,32.8,38.54,38.54,32.8,
8283721,302,83721,LDL DIRECT,33,16.5,12.21,16.5,12.21,15.51,13.2,13.2,15.51,15.51,13.2,
8264434,302,86720,LEPTOSPIRA AGGLUTINES,80,40,29.6,40,29.6,37.6,32,32,37.6,37.6,32,
8286765,302,86765,MEASLES,77,38.5,28.49,38.5,28.49,36.19,30.8,30.8,36.19,36.19,30.8,
8286766,302,86735,"MEASLES,MUMPS,RUBELLA(MMR)IMMUNITY PROFI",148,74,54.76,74,54.76,69.56,59.2,59.2,69.56,69.56,59.2,
18286255,302,86255,MITOCHON AB 259,44,22,16.28,22,16.28,20.68,17.6,17.6,20.68,20.68,17.6,
8243065,302,86308,MONO TEST,32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
8286735,302,86735,MUMPS,80,40,29.6,40,29.6,37.6,32,32,37.6,37.6,32,
8264616,302,86738,MYCOPLASMA IGG/IGM,58,29,21.46,29,21.46,27.26,23.2,23.2,27.26,27.26,23.2,
8286255,302,8625542,P/C - ANCA,73,36.5,27.01,36.5,27.01,34.31,29.2,29.2,34.31,34.31,29.2,
8286747,302,86747,PARVOVIRUS B19,90,45,33.3,45,33.3,42.3,36,36,42.3,42.3,36,
8286965,302,86965,PLATELET POOLING,128,64,47.36,64,47.36,60.16,51.2,51.2,60.16,60.16,51.2,
8286940,302,86940,PNH SCREEN,60,30,22.2,30,22.2,28.2,24,24,28.2,28.2,24,
8264897,302,86431,RA FACTOR 4418,36,18,13.32,18,13.32,16.92,14.4,14.4,16.92,16.92,14.4,
18286971,302,86971,RBC PRETREATMENT,169,84.5,62.53,84.5,62.53,79.43,67.6,67.6,79.43,79.43,67.6,
8286906,302,86906,RH PHENOTYPE PAT,99,49.5,36.63,49.5,36.63,46.53,39.6,39.6,46.53,46.53,39.6,
82286235,302,86235,RNP ANTIBODY 19887,82,41,30.34,41,30.34,38.54,32.8,32.8,38.54,38.54,32.8,
8247888,302,86759,ROTAVIRUS,80,40,29.6,40,29.6,37.6,32,32,37.6,37.6,32,
8243081,302,86592,RPR 36126,27,13.5,9.99,13.5,9.99,12.69,10.8,10.8,12.69,12.69,10.8,
8244678,302,86756,RSV,77,38.5,28.49,38.5,28.49,36.19,30.8,30.8,36.19,36.19,30.8,
8244592,302,86762,RUBELLA SCREEN,86,43,31.82,43,31.82,40.42,34.4,34.4,40.42,40.42,34.4,
8247718,302,86235,SCL-70 ANTIBODIES 4942,107,53.5,39.59,53.5,39.59,50.29,42.8,42.8,50.29,50.29,42.8,
8244668,302,86235,SJOGREN'S SSA/B 7832,107,53.5,39.59,53.5,39.59,50.29,42.8,42.8,50.29,50.29,42.8,
8244669,302,86235,SM & SM/RNP 7448,107,53.5,39.59,53.5,39.59,50.29,42.8,42.8,50.29,50.29,42.8,
8286235,302,86235,SMITH ANTIBODY  37923,92,46,34.04,46,34.04,43.24,36.8,36.8,43.24,43.24,36.8,
8263337,302,86256,SMOOTH MUSCLE CHARGE,57,28.5,21.09,28.5,21.09,26.79,22.8,22.8,26.79,26.79,22.8,
8249011,302,86359,T CELL TOTAL COUNT ARL,223,111.5,82.51,111.5,82.51,104.81,89.2,89.2,104.81,104.81,89.2,
8242604,302,86800,THYROID ANTIBODIES 267,96,48,35.52,48,35.52,45.12,38.4,38.4,45.12,45.12,38.4,
8265050,302,86376,THYROID MICROSOMAL ANTIBODY,86,43,31.82,43,31.82,40.42,34.4,34.4,40.42,40.42,34.4,
8265092,302,86784,TRICHINELLA ANTIBODY,75,37.5,27.75,37.5,27.75,35.25,30,30,35.25,35.25,30,
8265100,302,86668,TULAREMIA         ARL,59,29.5,21.83,29.5,21.83,27.73,23.6,23.6,27.73,27.73,23.6,
8249110,302,86787,VARICELLA  4439,77,38.5,28.49,38.5,28.49,36.19,30.8,30.8,36.19,36.19,30.8,
8249111,302,86787,VARICELLA IGM 8683,77,38.5,28.49,38.5,28.49,36.19,30.8,30.8,36.19,36.19,30.8,
8243073,302,86592,VDRL-CSF  4128,29,14.5,10.73,14.5,10.73,13.63,11.6,11.6,13.63,13.63,11.6,
8286900,305,86900,.ABO RETYPE,19,9.5,7.03,9.5,7.03,8.93,7.6,7.6,8.93,8.93,7.6,
8285610,305,85610,.BU ISTAT PT (PROTHROMBIN TIME),26,13,9.62,13,9.62,12.22,10.4,10.4,12.22,12.22,10.4,
18885027,305,85025,.CBC + DIFF  DUPLICATE,46,23,17.02,23,17.02,21.62,18.4,18.4,21.62,21.62,18.4,
8287635,305,87635,.COVID-19 STATE LAB CONFIRMATORY,75,37.5,27.75,37.5,27.75,35.25,30,30,35.25,35.25,30,
8255069,305,86920,.CROSSMATCH IS,208,104,76.96,104,76.96,97.76,83.2,83.2,97.76,97.76,83.2,
8285027,305,85027,.HEM II/CBC DUPLICATE DO NOT USE,29,14.5,10.73,14.5,10.73,13.63,11.6,11.6,13.63,13.63,11.6,
8285023,305,85025,.HEM III OLD format - DO NOT USE,46,23,17.02,23,17.02,21.62,18.4,18.4,21.62,21.62,18.4,
8255028,305,86901,.RH FACTOR,18,9,6.66,9,6.66,8.46,7.2,7.2,8.46,8.46,7.2,
8287902,305,87902,ACCUTYPE RIBA 91416,802,401,296.74,401,296.74,376.94,320.8,320.8,376.94,376.94,320.8,
8243032,305,86038,ANA 16814,73,36.5,27.01,36.5,27.01,34.31,29.2,29.2,34.31,34.31,29.2,
8244670,305,86147,ANTI CARDIO AB 36333,151,75.5,55.87,75.5,55.87,70.97,60.4,60.4,70.97,70.97,60.4,
8255036,305,86850,ANTIBODY SCREEN,22,11,8.14,11,8.14,10.34,8.8,8.8,10.34,10.34,8.8,
8286250,305,86255,ANTI-PARIETAL CELL AB,32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
8286149,305,86148,ANTI-PHOSPHOLIPID,314,157,116.18,157,116.18,147.58,125.6,125.6,147.58,147.58,125.6,
8285520,305,85520,ANTI-XA 30292 (HEPARIN ASSAY),61,30.5,22.57,30.5,22.57,28.67,24.4,24.4,28.67,28.67,24.4,
8243024,305,86060,ASO 265,44,22,16.28,22,16.28,20.68,17.6,17.6,20.68,20.68,17.6,
88285027,305,85027,AUTO CBC CHARGE,22,11,8.14,11,8.14,10.34,8.8,8.8,10.34,10.34,8.8,
8287802,305,87802,BACT ANTIGEN 34084,73,36.5,27.01,36.5,27.01,34.31,29.2,29.2,34.31,34.31,29.2,
8285024,305,85025,BC-III CMAC,46,23,17.02,23,17.02,21.62,18.4,18.4,21.62,21.62,18.4,
8282232,305,82232,"BETA-2 MICROGLOBULIN, SERUM",32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
8248015,305,85002,BLEEDING TIME,29,14.5,10.73,14.5,10.73,13.63,11.6,11.6,13.63,13.63,11.6,
8284080,305,84080,BONE SPECIFIC ALK PHOS,32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
28285027,305,85027,CBC,29,14.5,10.73,14.5,10.73,13.63,11.6,11.6,13.63,13.63,11.6,
18285023,305,85025,CBC + DIFF,46,23,17.02,23,17.02,21.62,18.4,18.4,21.62,21.62,18.4,
18285027,305,85027,CBC + RETIC,29,14.5,10.73,14.5,10.73,13.63,11.6,11.6,13.63,13.63,11.6,
8264094,305,85025,CBC+ DIFF + RETIC,46,23,17.02,23,17.02,21.62,18.4,18.4,21.62,21.62,18.4,
8243057,305,86157,COLD AGGLUTININS,50,25,18.5,25,18.5,23.5,20,20,23.5,23.5,20,
8282530,305,82530,"CORTISOL, FREE DO NOT USE",73,36.5,27.01,36.5,27.01,34.31,29.2,29.2,34.31,34.31,29.2,
8287636,305,87635,COVID-19 SYNERGY,75,37.5,27.75,37.5,27.75,35.25,30,30,35.25,35.25,30,
8282540,305,82540,CREATINE URINE/SERUM,32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
8286141,305,86141,"CRP, CARDIAC",32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
8255127,305,86880,DAT TEST (DIRECT COOMBS),26,13,9.62,13,9.62,12.22,10.4,10.4,12.22,12.22,10.4,
88286978,305,86978,DIFF ABSORPTION,132,66,48.84,66,48.84,62.04,52.8,52.8,62.04,62.04,52.8,
8286663,305,86663,"EBV VCA & EA, IGG",32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
8247108,305,85999,EOSINOPHIL CT URINE 8559,17,8.5,6.29,8.5,6.29,7.99,6.8,6.8,7.99,7.99,6.8,
8285250,305,85250,FACTOR IX (9) ACTIVITY,113,56.5,41.81,56.5,41.81,53.11,45.2,45.2,53.11,53.11,45.2,
8263766,305,85240,FACTOR VIII ACTIVITY,107,53.5,39.59,53.5,39.59,50.29,42.8,42.8,50.29,50.29,42.8,
8285244,305,85244,FACTOR VIII AG,128,64,47.36,64,47.36,60.16,51.2,51.2,60.16,60.16,51.2,
8285246,305,85335,FACTOR VIII INHIBITOR,135,67.5,49.95,67.5,49.95,63.45,54,54,63.45,63.45,54,
8263774,305,85291,FACTOR XIII,98,49,36.26,49,36.26,46.06,39.2,39.2,46.06,46.06,39.2,
8263816,305,85362,FDP  FIBRIN SPLIT PRODUCTS,42,21,15.54,21,15.54,19.74,16.8,16.8,19.74,19.74,16.8,
8248064,305,85384,FIBRINOGEN,52,26,19.24,26,19.24,24.44,20.8,20.8,24.44,24.44,20.8,
8282747,305,82747,"FOLATE, RBC 467",32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
8264053,305,85441,HEINZ BODY STAIN,27,13.5,9.99,13.5,9.99,12.69,10.8,10.8,12.69,12.69,10.8,
8247081,305,85014,HEMATOCRIT,16,8,5.92,8,5.92,7.52,6.4,6.4,7.52,7.52,6.4,
8247080,305,85018,HEMOGLOBIN,16,8,5.92,8,5.92,7.52,6.4,6.4,7.52,7.52,6.4,
8285021,305,,HEMOGRAM -I,32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
8286902,305,86902,HISTORICAL TYPINGS,59,29.5,21.83,29.5,21.83,27.73,23.6,23.6,27.73,27.73,23.6,
8285055,305,85055,IMMATURE PLT FRACTION,127,63.5,46.99,63.5,46.99,59.69,50.8,50.8,59.69,59.69,50.8,
8286340,305,86340,INTRINSIC FACTOR 568,32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
82802991,305,80299,KEPPRA 15142,32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
82802990,305,80299,LAMOTRIGINE 22060,32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
8248023,305,85345,LEE WHITE CLOTTING TIME,27,13.5,9.99,13.5,9.99,12.69,10.8,10.8,12.69,12.69,10.8,
8285048,305,85048,LEP,9,4.5,3.33,4.5,3.33,4.23,3.6,3.6,4.23,4.23,3.6,
8264442,305,85540,LEUKO ALK PHOS SMEAR,39,19.5,14.43,19.5,14.43,18.33,15.6,15.6,18.33,18.33,15.6,
8248992,305,85613,LUPUS ANTI 7079,33,16.5,12.21,16.5,12.21,15.51,13.2,13.2,15.51,15.51,13.2,
82880101,305,80101,"METHADONE, URINE SCREEN",32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
82716811,305,80299,NEURONTIN (GABAPENTIN),32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
8247124,305,85557,OS FRAGILITY (INCUBATED),81,40.5,29.97,40.5,29.97,38.07,32.4,32.4,38.07,38.07,32.4,
88286905,305,86905,PAT RBL ANTIGEN NOT RH,55,27.5,20.35,27.5,20.35,25.85,22,22,25.85,25.85,22,
8263402,305,80500,PATHOLOGY REVIEW (PERIPHERAL SMEAR),63,31.5,23.31,31.5,23.31,29.61,25.2,25.2,29.61,29.61,25.2,
8282441,305,82441,"PCB, 1242/1248",32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
82824410,305,82441,"PCB, 1254/1260",32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
88286022,305,86022,PH CROSSMATCH,418,209,154.66,209,154.66,196.46,167.2,167.2,196.46,196.46,167.2,
18286022,305,86022,PH HLA-MATCH,418,209,154.66,209,154.66,196.46,167.2,167.2,196.46,196.46,167.2,
8286148,305,86148,PHOSPHATIDYLSERINE 10062,314,157,116.18,157,116.18,147.58,125.6,125.6,147.58,147.58,125.6,
8247025,305,85049,PLATELET COUNT,29,14.5,10.73,14.5,10.73,13.63,11.6,11.6,13.63,13.63,11.6,
8285302,305,85303,PROTEIN C 1777,83,41.5,30.71,41.5,30.71,39.01,33.2,33.2,39.01,39.01,33.2,
8285306,305,85306,PROTEIN S 1779,90,45,33.3,45,33.3,42.3,36,36,42.3,42.3,36,
8248031,305,85610,PT(PROTHROMBIN TIME),26,13,9.62,13,9.62,12.22,10.4,10.4,12.22,12.22,10.4,
8247074,305,85041,RBC COUNT,19,9.5,7.03,9.5,7.03,8.93,7.6,7.6,8.93,8.93,7.6,
8247033,305,85045,RETIC CT,27,13.5,9.99,13.5,9.99,12.69,10.8,10.8,12.69,12.69,10.8,
8285046,305,85046,RETIC HE PANEL,27,13.5,9.99,13.5,9.99,12.69,10.8,10.8,12.69,12.69,10.8,
82085245,305,85245,RISTOCETIN COFACTOR 4459,153,76.5,56.61,76.5,56.61,71.91,61.2,61.2,71.91,71.91,61.2,
8247041,305,85652,SED RATE,22,11,8.14,11,8.14,10.34,8.8,8.8,10.34,10.34,8.8,
8247058,305,85660,SICKLE CELL SCREEN,35,17.5,12.95,17.5,12.95,16.45,14,14,16.45,16.45,14,
8265043,305,85670,THROMBIN TIME 883,36,18,13.32,18,13.32,16.92,14.4,14.4,16.92,16.92,14.4,
8286376,305,86376,THYROID PEROXIDASE 5081,73,36.5,27.01,36.5,27.01,34.31,29.2,29.2,34.31,34.31,29.2,
8283719,305,83701,VAP 10270,32,16,11.84,16,11.84,15.04,12.8,12.8,15.04,15.04,12.8,
8243594,305,85004,"WBC/DIFF,BLOOD-AUTOMATED",17,8.5,6.29,8.5,6.29,7.99,6.8,6.8,7.99,7.99,6.8,
8249153,306,87206,..ACID FAST SMEAR,35,17.5,12.95,17.5,12.95,16.45,14,14,16.45,16.45,14,
8248163,306,87077,.ORGANISM ID,50,25,18.5,25,18.5,23.5,20,20,23.5,23.5,20,
8249179,306,87186,.SENSITIVITY,42,21,15.54,21,15.54,19.74,16.8,16.8,19.74,19.74,16.8,
8287209,306,87209,.SMEAR INTERPRET COMPLEX,83,41.5,30.71,41.5,30.71,39.01,33.2,33.2,39.01,39.01,33.2,
8242885,306,87205,.SPUTUM REJECTION,25,12.5,9.25,12.5,9.25,11.75,10,10,11.75,11.75,10,
8287088,306,87077,.UR ORG ID,50,25,18.5,25,18.5,23.5,20,20,23.5,23.5,20,
8242703,306,87230,C.DIFFICILE COMPLETE,84,42,31.08,42,31.08,39.48,33.6,33.6,39.48,39.48,33.6,
8287046,306,87046,CAMPYLOBACTER CULTURE,20,10,7.4,10,7.4,9.4,8,8,9.4,9.4,8,
8200015,306,81001,CHARGE MICRO UA,20,10,7.4,10,7.4,9.4,8,8,9.4,9.4,8,
8287490,306,87490,CHLAMYDIA ANTIBODY,68,34,25.16,34,25.16,31.96,27.2,27.2,31.96,31.96,27.2,
8249287,306,,CLO-TEST,47,23.5,17.39,23.5,17.39,22.09,18.8,18.8,22.09,22.09,18.8,
8256687,306,87015,CRYPTOSPORIDIUM 37213,50,25,18.5,25,18.5,23.5,20,20,23.5,23.5,20,
8249112,306,87116,CULTURE AFB 4554,70,35,25.9,35,25.9,32.9,28,28,32.9,32.9,28,
8249195,306,87075,CULTURE ANAEROBIC,58,29,21.46,29,21.46,27.26,23.2,23.2,27.26,27.26,23.2,
8249039,306,87040,CULTURE BLOOD,62,31,22.94,31,22.94,29.14,24.8,24.8,29.14,29.14,24.8,
8249040,306,87070,CULTURE BODY FLUID,52,26,19.24,26,19.24,24.44,20.8,20.8,24.44,24.44,20.8,
8249048,306,87070,CULTURE BRONCH WASHING,49,24.5,18.13,24.5,18.13,23.03,19.6,19.6,23.03,23.03,19.6,
8249059,306,87070,CULTURE BURN,58,29,21.46,29,21.46,27.26,23.2,23.2,27.26,27.26,23.2,
8249070,306,87070,CULTURE CSF,52,26,19.24,26,19.24,24.44,20.8,20.8,24.44,24.44,20.8,
8249058,306,87070,CULTURE ENT,58,29,21.46,29,21.46,27.26,23.2,23.2,27.26,27.26,23.2,
8249057,306,87070,CULTURE EYE,58,29,21.46,29,21.46,27.26,23.2,23.2,27.26,27.26,23.2,
8249120,306,87102,CULTURE FUNG 4553 (NON-BLOOD),51,25.5,18.87,25.5,18.87,23.97,20.4,20.4,23.97,23.97,20.4,
8249096,306,87070,CULTURE GENITAL,52,26,19.24,26,19.24,24.44,20.8,20.8,24.44,24.44,20.8,
8249056,306,87070,CULTURE GI TRACT,58,29,21.46,29,21.46,27.26,23.2,23.2,27.26,27.26,23.2,
8249062,306,87070,CULTURE NASAL,47,23.5,17.39,23.5,17.39,22.09,18.8,18.8,22.09,22.09,18.8,
8249050,306,87070,CULTURE NODE,58,29,21.46,29,21.46,27.26,23.2,23.2,27.26,27.26,23.2,
8249049,306,87070,CULTURE ORTHO,58,29,21.46,29,21.46,27.26,23.2,23.2,27.26,27.26,23.2,
82490471,306,87070,CULTURE RESP RECOLLECT,52,26,19.24,26,19.24,24.44,20.8,20.8,24.44,24.44,20.8,
8249047,306,87070,CULTURE RESPIRATORY,52,26,19.24,26,19.24,24.44,20.8,20.8,24.44,24.44,20.8,
8249054,306,87045,CULTURE STOOL,58,29,21.46,29,21.46,27.26,23.2,23.2,27.26,27.26,23.2,
8249055,306,87070,CULTURE SURGICAL SITE,58,29,21.46,29,21.46,27.26,23.2,23.2,27.26,27.26,23.2,
8249053,306,87070,CULTURE SURGICAL SPECIMEN,58,29,21.46,29,21.46,27.26,23.2,23.2,27.26,27.26,23.2,
8249088,306,87070,CULTURE THROAT,47,23.5,17.39,23.5,17.39,22.09,18.8,18.8,22.09,22.09,18.8,
8249013,306,87086,CULTURE URINE,50,25,18.5,25,18.5,23.5,20,20,23.5,23.5,20,
8249051,306,87070,CULTURE WOUND INCISION,58,29,21.46,29,21.46,27.26,23.2,23.2,27.26,27.26,23.2,
8249052,306,87070,CULTURE WOUND INSERTION SITE,58,29,21.46,29,21.46,27.26,23.2,23.2,27.26,27.26,23.2,
8249104,306,87070,CULTURE WOUND OTHER NON SURGICAL,52,26,19.24,26,19.24,24.44,20.8,20.8,24.44,24.44,20.8,
8287493,306,87493,DNA RNA C DIFF 16739,294,147,108.78,147,108.78,138.18,117.6,117.6,138.18,138.18,117.6,
82287798,306,87798,DNA TOXIN C DIFF 16739,294,147,108.78,147,108.78,138.18,117.6,117.6,138.18,138.18,117.6,
8287335,306,87335,ECOLI 0157,66,33,24.42,33,24.42,31.02,26.4,26.4,31.02,31.02,26.4,
8287590,306,87590,GC,118,59,43.66,59,43.66,55.46,47.2,47.2,55.46,55.46,47.2,
8244675,306,87205,GC SMEAR,27,13.5,9.99,13.5,9.99,12.69,10.8,10.8,12.69,12.69,10.8,
8243735,306,87329,GIARDIA 8625,96,48,35.52,48,35.52,45.12,38.4,38.4,45.12,45.12,38.4,
8249146,306,87205,GRAM STAIN,27,13.5,9.99,13.5,9.99,12.69,10.8,10.8,12.69,12.69,10.8,
8255275,306,87340,HEP B SURFACE AG 498,62,31,22.94,31,22.94,29.14,24.8,24.8,29.14,29.14,24.8,
8286707,306,86707,HEP BE ANTIBODY 556,69,34.5,25.53,34.5,25.53,32.43,27.6,27.6,32.43,32.43,27.6,
8255291,306,87350,HEP BE ANTIGEN 555,69,34.5,25.53,34.5,25.53,32.43,27.6,27.6,32.43,32.43,27.6,
8243768,306,87250,HERPES CULTURE,115,57.5,42.55,57.5,42.55,54.05,46,46,54.05,54.05,46,
8287176,306,87176,HOMOGENIZATION,35,17.5,12.95,17.5,12.95,16.45,14,14,16.45,16.45,14,
8287529,306,87529,HSV BY PCR 34257,296,148,109.52,148,109.52,139.12,118.4,118.4,139.12,139.12,118.4,
8249187,306,87210,INDIA INK DO NOT USE RW,27,13.5,9.99,13.5,9.99,12.69,10.8,10.8,12.69,12.69,10.8,
8249161,306,87220,KOH HAIR/NAIL,19,9.5,7.03,9.5,7.03,8.93,7.6,7.6,8.93,8.93,7.6,
8287210,306,87210,KOH PREP,27,13.5,9.99,13.5,9.99,12.69,10.8,10.8,12.69,12.69,10.8,
8264525,306,87207,MALARIA SMEAR,37,18.5,13.69,18.5,13.69,17.39,14.8,14.8,17.39,17.39,14.8,
8249072,306,87040,MANUAL BLOOD ORG ID,62,31,22.94,31,22.94,29.14,24.8,24.8,29.14,29.14,24.8,
8249071,306,87070,MANUAL CSF ORG ID,52,26,19.24,26,19.24,24.44,20.8,20.8,24.44,24.44,20.8,
8246019,306,87177,O & P 1748,38,19,14.06,19,14.06,17.86,15.2,15.2,17.86,17.86,15.2,
8246027,306,82270,OCCULT BLOOD,17,8.5,6.29,8.5,6.29,7.99,6.8,6.8,7.99,7.99,6.8,
8287070,306,87070,PERTUSSIS CULT 5260,46,23,17.02,23,17.02,21.62,18.4,18.4,21.62,21.62,18.4,
8287798,306,87798,"PERTUSSIS, DNA 11365",218,109,80.66,109,80.66,102.46,87.2,87.2,102.46,102.46,87.2,
8246043,306,,PINWORM,33,16.5,12.21,16.5,12.21,15.51,13.2,13.2,15.51,15.51,13.2,
8287449,306,87449,PNEUMONIA ANTIGEN SCREEN,121,60.5,44.77,60.5,44.77,56.87,48.4,48.4,56.87,56.87,48.4,
8242794,306,87880,RAPID STREP A,66,33,24.42,33,24.42,31.02,26.4,26.4,31.02,31.02,26.4,
8285008,306,85008,RBL SMEAR REVIEW,19,9.5,7.03,9.5,7.03,8.93,7.6,7.6,8.93,8.93,7.6,
