CLAY COUNTY HOSPITAL,,,
CHARGEMASTER,,,
,,,
DESCRIPTION,CPT CD,CHARGE,
DILTIAZEM ER (Cardizem) CAP  240MG UD,,6,
DILTIAZEM ER {Cardizem} CAP :   360MG UD,,5.5,
DILUTER CONCHA  RCI 384-26,,15,
dimenhyDRINATE 50MG/ML {CH/ML -NH},,22,
dimenhyDRINATE TAB {DRAMAMINE}  50MG UD,,6,
DIMETAPP DM ELIXIR   PER ML,,0.25,
DIMETAPP ELIXIR 118ML CH/ML,,0.03,
DINIMAP,93799,133,
Diovan {VALSARTAN} TAB  160MG,,8,
Diovan {VALSARTAN} TAB : 320MG UD,,10.65,
Diovan {VALSARTAN} TAB 80MG UD,,6,
Diovan HCT TAB   320MG/25MG,,7,
diphenhydrAMINE (BENADRYL) 500MG/10ML,,25,
diphenhydrAMINE (Benadryl) CAP  50MG,,6,
diphenhydrAMINE {Benadryl} CAP 25MG UD,,6,
DIPHENOX/ATROPINE {LOMOTIL} TAB   2.5MG,,6,
DIPHENOX/ATROPINE {LOMOTIL} TAB 2.5 UD,,6,
DIPRIVAN 1% 10MG/ML  {PER CC},,5,
DIPRIVAN 1% 10MG/ML 10ML(PROPOFOL),,25,
DIPRIVAN 10MG/ML 50ML SDV KIT,,110,
DIPROLENE AF OINT 0.05%(15GM/PER GM),,4.9,
DIPYRIDAMOLE 75MG TAB (PERSANTINE) UD,,6,
DIRECT ADMIT TO OBSERVATION,,139,
DISSOLVE CLOT HEART VESSEL-PHY,92977,561,
DITROPAN XL TAB {OXYBUTYNIN}   10MG,,5.25,
DIVALPROEX DR (Depakote DR) TAB 125MG,,6,
DIVALPROEX DR (Depakote) SPRINKLE 125MG,,6,
DIVALPROEX DR {Depakote DR} TAB 250MG UD,,6,
DIVALPROEX DR {Depakote DR} TAB 500MG UD,,6,
DIVALPROEX ER (Depakote ER) TAB 250MG,,6,
DIVALPROEX ER (Depakote ER} TAB 500MG UD,,6,
DIVISION PLANTAR FASCIA (OPEN),28250,5778,
DOBUTamine  250MG VIAL,J1250,50,
DOBUTamine 250MG PREMIX BAG,J1250,193,
DOBUTamine 250MG VIAL,,6.31,
DOBUTamine 500MG PREMIX BAG,J1250,193,
DOCUSATE SOD CAP (Colace) 100MG UD,,6,
DOCUSATE SODIUM 250MG CAP,,6,
DONEPEZIL (Aricept) TAB   10MG UD,,6,
DONEPEZIL {Aricept}  TAB   5MG UD,,6,
DONEPEZIL 23MG TAB,,6,
DONNATAL ELIXIR   GENERIC CH/ML,,9,
DOPamine 400MG VIAL,J1250,61,
DOPamine 400MG/250ML PREMIX : *250ML*,,100,
DOPamine 400MG/500ML PREMIX : *500ML*,,90,
DORZOLAMIDE (TRUSOPT) EYE SOL 10ML CH/ML,,10.5,
DORZOLAMIDE/TIMOLOL OPHTH SOL 10ML CH/ML,,22,
DOUBLE ANTIBIOTIC {POLYSPORIN} OINT CH/G,,0.63,
DOUBLE ANTIBIOTIC OINT  0.9GM,,4,
DOVE SOAP UD,,5,
DOXAZOSIN {Cardura} TAB 2MG UD,,6,
DOXAZOSIN {Cardura} TAB: 4MG,,6,
DOXEPIN {SINEQUAN} CAP   100MG,,4,
DOXEPIN {SINEQUAN} CAP   10MG UD,,4,
DOXEPIN {SINEQUAN} CAP   25MG,,6,
DOXEPIN {SINEQUAN} CAP  75MG,,6,
DOXYCYCLINE (VIBRAMYCIN) CAPS  *50MG*,,6,
DOXYCYCLINE (VIBRAMYCIN) CAPS  100MG UD,,11.5,
DR CARMICHAEL'S MOUTH ULCER PASTE,,25,
DR SCHOLLS INSERTS,,0.8,
DRAIN 1  PENROSE,,5,
DRAIN 1/2  PENROSE  91803,,5,
DRAIN 1/2  PENROSE 8888515205,,11,
DRAIN 1/4  PENROSE,,4,
DRAIN 1/4  PENROSE  8888514604,,2,
DRAIN BLOOD UNDER NAIL,11740,174,
DRAIN BLOOD UNDER NAIL,11740,428,
DRAIN JP SU130-1310,,27,
DRAIN JP SU130-1311,,27,
DRAIN MOUTH LESION,40800,238,
DRAIN PENIS LESION (I&D DEEP),54015,682,
DRAIN SEROMA,49406,2785,
DRAIN THIGH/KNEE LESION,27301,1070,
DRAIN TLS 7FR SYSTEM,,82,
DRAIN/INJ MAJOR JOINT/BURSA W/O US,20610,670,
DRAINAGE LESION OF MOUTH ROOF,42000,215,
DRAINAGE OF ABSCESS,10061,1011,
DRAINAGE OF ABSCESS FINGER,26010,267,
DRAINAGE OF GUM LESION,41800,220,
DRAINAGE OF HEMATOMA FLUID,10140,215,
DRAINAGE OF SKIN ABSCESS,10061,1011,
DRAINAGE OF SKIN ABSCESS/SIMPLE OR SINGL,11600,359,
DRAINAGE OF SKIN ABSCESS/SIMPLE OR SINGL,10060,413,
DRAINAGE OF TONSIL LESION,42700,284,
DRAINAGE RECTAL ABSCESS,45005,428,
DRAINAGE SUBDIAPHRAGMATIX ABSCESS,49040,1930,
DRAMAMINE (dimenhyDRINATE) LIQ  4OZ,,0.6,
DRAMAMINE (DimenhyDRINATE)INJ 50/ML UD,J1240,25,
DRAPE FILM U,,5,
DRAPE LITHOTOMY STERILE,,32,
DRAPE MICROSCOPE 40.5X102,,24,
DRAPE STERILE (CENTRAL LINE),,47,
DRAPE STERILE LAP CHOLE 12X12,,24,
DRAPE STERILE MINOR W-ADHESIVE,,14,
DRAPES PLASTIC EYE (ALCON),,20,
DRAPES PLASTIC EYE 1045,,25,
DRAPE-T EXTREMITY,,16,
DRESSING 2X2 CALCIUM ALGINATE,,7,
DRESSING 3X3 ADAPTIC,,4,
DRESSING 4X4 VERSIVA  AQUACEL,,8,
DRESSING 8X7 VERSIVA,,19,
DRESSING ADAPTIC 3X16,,4,
DRESSING ADAPTIC 3X3,,2,
DRESSING ADAPTIC 3X8,,3,
DRESSING COTTON FINGER I-295,,10,
DRESSING DUODERM 4X4,,7,
DRESSING FOAM KIT MED,,105,
DRESSING FOAM MED KIT,,105,
DRESSING GEL-SYTE,,29,
DRESSING SMALL BLACK,,180,
DRESSING TEGADERM 4X10,,5,
DRESSING TEGADERM 4X4 3/4,,4,
"DRISDOL 50,000U ERGOCALCIFEROL",,7,
DRONABINOL 2.5MG CAP,,6,
DROSPIRONE-ETHYL ESTRA (YAZ) 3-0.02MG,,6,
DRYSOL  SOLUTION  CH/ML,,2,
DUAVEE 0.45/20MG,,16,
DULCOLAX {BISACODYL} SUPP  10MG   UD,,6,
DULCOLAX 5mg TAB (BISACODYL) (NH),,6,
DULCOLAX 5mg TAB (BISACODYL) UD dont cru,,6,
DULERA 100/5 INHALER 120 DOSE 13GM CH/GM,,56.1,
DULERA 100/5 INHALER 60 DOSE 8.8GM CH/GM,,50,
DULERA 200/5 INHALER 13GM  {CH/GM},,56.05,
DULoxetine (Cymbalta) CAP 20MG,,6,
DULoxetine (CYMBALTA) CAP 60MG,,12,
DULoxetine {Cymbalta} CAP   30MG UD,,20,
DUODERM CGF BORDER  4X4 DRESSING,,17,
DUODERM CGF DRESSING   4X4,,17,
DUODERM EXTRA THIN DRESSING 4X4,,17,
DUOVISC [EYE],,241,
DUREZOL 0.05% OPHTH DROP 5ML  CH/ML,,104,
DUREZOL 0.05% OPTH EMULSION CH/ML,,85,
DUTASTERIDE (AVODART) CAP 0.5MG,,6,
DVT SLEEVE LG,,24,
DVT SLEEVE LG,,27,
DVT SLEEVE MED,,27,
DVT SLEEVE MED,,32,
DVT SLEEVES LG,,27,
DVT SLEEVES MED,,27,
DYMISTA  NASAL SPRAY (PER GM),,15.2,
E.E.S. 200MG/5ML SUSP 200ML - CH/ML,,0.45,
EAR/THROAT EXAM,92502,226,
EASY TOUCH PEN NEEDLES 32G 5MM 3/16,,1,
EAT LOW CHOLESTEROL,,5,
EATING HEALTHY,,4,
ECONAZOLE (SPECTAZOLE) 1% 15GM CH/GM,,2.13,
ECONAZOLE CREAM 1%  85GM   CH/GM,,0.5,
EFFER-K 20mEq EFFERVESCENT TAB,,4,
EFFIENT 10MG TAB,,13.75,
EGD BALLOON DILATION 30MM,43233,2416,
EGD W/DILATION FOR GASTRIC OUTLET OBSTRU,43245,2283,
EGD WITH DILATATION/BALLOON,43249,1820,
EGD WITH DILATATION/GW,43248,1754,
EGD WITH FB REMOVAL,43247,1698,
EGD WITH INJECTION OF VARICES,43243,1908,
EGD WITH POLYPECTOMY/HOT BIOPSY,43250,1864,
EGD WITH POLYPECTOMY/SNARE,43251,1908,
EGD WITH SUBMUCOSAL INJECTION,43236,1550,
EGG (WHOLE)  ALLERGEN   ID 152713,86003,50,
EKG-STRESS MEDICAID,,403,
ELBOW ORTHOTIC WITH ADJUSTABLE POSITION,L3760,575,
ELEC STIM UNATTENDED,G0283GP,121,
ELEC STIM UNATTENDED,G0283GP,121,
ELECTRICAL STIMULATION CONST ATTEN EA 15,97032GP,51,
ELECTRICAL STIMULATION CONST ATTEN EA 15,97032GP,121,
ELECTRODE ADULT,,4,
ELECTRODE PED. DISPERSIVE 425-2200,,9,
ELECTRODES 22935,,3,
ELECTROLYTE POPSICLE,,9,
ELIDEL CR PIMECROLIMUS) PER GM,,3.35,
ELIQUIS  TAB  2.5mg UD,,16.5,
ELIQUIS  TAB  5MG UD,,26.5,
EMPTY EVAC GLASS IV 1000ML,,28,
EMPTY EVAC GLASS IV 250ML,,28,
EMPTY EVAC GLASS IV 500ML,,28,
ENALAPRIL {VASOTEC} 2.5MG TAB,,4,
ENALAPRIL {VASOTEC} TAB 10MG,,6,
ENALAPRIL {VASOTEC} TAB 10MG,,6,
ENALAPRIL {VASOTEC} TAB 2.5MG    UD,,6,
ENALAPRIL {VASOTEC} TAB 20MG,,4,
ENALAPRIL {VASOTEC} TAB 5MG,,6,
ENALAPRIL/HCTZ  5MG/12.5MG TAB,,6,
ENALAPRIL/HCTZ 10MG/25MG TAB,,6,
ENALAPRILAT 1.25MG/ML INJ (VASOTE  PERcc,,30,
ENCEPHALITIS PROFILE   ID 152951,86694,57,
ENDO GIA ULTRA UNIV. STAPLER EGIAUSTND,,862,
ENDO GIA UNIV. ROTICULATOR  030450,,922,
ENDO GIA UNIV. ROTICULATOR  030452,,888,
ENDO GIA UNIV. XL  EGIAUXL,,1256,
ENDOCLIP  176657,,781,
ENDOMETRIAL BIOPSY WO CERVICAL DILATION,58100,405,
ENDOSCOPIC PLANTAR FASCIOTOMY,29893,5835,
ENDOTRACHAEL INTUBATION,31500,427,
ENDOWRAP (VIDEO CAMERA COVER) A006.00,,32,
ENEMA FLEET ADULT,,5,
ENEMA FLEET CHILDREN,,7,
ENEMA MINERAL OIL,,8,
ENEMA SALINE,,13,
ENEMA SS,,6,
ENOXAPARIN {LOVENOX } INJ  30MG UD,J1650,26,
ENOXAPARIN {LOVENOX} INJ  40MG   UD,J1650,45,
ENOXAPARIN {LOVENOX} INJ  60MG UD,J1650,63,
ENOXAPARIN {LOVENOX} INJ  80MG   UD,J1650,100,
ENOXAPARIN {LOVENOX} INJ 100MG/ML UD,J1650,85,
ENOXAPARIN {LOVENOX} INJ: 120MG/ML UD,J1650,100,
ENOXAPARIN MDV 300MG/3ML CHG/ML,J1650,122.5,
ENSURE,,6,
ENSURE BUTTER PECAN,,2.55,
ENTACAPONE 200MG TAB (COMTAN),,6,
ENTEROLYSIS-FREEING INTEST ADHESIONS,44005,2549,
"ENTEROTOMY, SMALL INTESTINE FOR BIOPSY",44020,2963,
ENTRESTO {SACUB/VALSAT}  49/51MG TAB,,23,
ENTRESTO TAB 24MG/26MG,,19,
epHEDrine 50MG AMPS 1ML,,58,
"EPIDURAL,CERVICAL OR THORACIC STEROID IN",62321,3850,
"EPIDURAL,LUMBAR OR CAUDAL STEROID INJECT",62323,3850,
"EPIDURAL,TRANSFORAMINAL  STEROID INJECT",64483,4318,
EPINEPHrine 1:1000 1ML AMPULE,J0171,28,
EPINEPHrine 1MG SYRINGE {CRASH CART},J0171,45,
EPINEPHrine PRESER FREE 1:1000 1ML AMP,J0171,25,
EPIPEN 0.3MG AUTO INJECTOR 2-PAK GEN,,83,
EPLERENONE (INSPRA) TAB 25MG,,8,
EPLERENONE (INSPRA) TAB 50MG,,8,
EPOGEN INJ /1000 UNITS(PROCRIT)NON/ESRD,J0885,182.15,
EPSOM SALT (MAG SULFATE) 1LB BOX,,6,
ER VISIT BRIEF,99281,132,
ERCP,43260,3293,
ERCP WITH REMOVAL OF STONES,43264,3293,
ERCP WITH SPHINCTEROTOMY,43262,3293,
"ERGOCALCIFEROL D2 CAP 1.25MG (50,000UN)",,6,
ERGOTAMINE/CAFFEINE 1/100MG {CAFERGOT},,6,
ERY-TAB {E-MYCIN DELAY REL}  333MG UD,,5,
ERY-TAB 250MG DR (ERYTHROMYCIN),,4,
ERYTHROMYCIN OPHT OINT   3.5GM  CH/GM,,12,
ESCITALOPRAM (LEXAPRO) TAB   10MG UD,,6,
ESCITALOPRAM (LEXAPRO) TAB  20MG UD,,6,
ESCITALOPRAM {LEXAPRO}  TAB  5MG,,6,
ESGIC  TABS {BUT50/APAP325/CAFF40} FIORI,,4,
ESMOLOL  10MG/ML  10ML,,26,
ESOMEPRAZOLE (NEXIUM) 40MG CAP UD,,7.23,
ESOMEPRAZOLE DR (NEXIUM) 20MG CAP,,10,
ESOPHAGOGASTRODUODENOSCOPY,43235,1406,
ESPROSARTAN (TEVETEN) TABS 600MG,,6,
ESTRADIOL   ID 6929,82670,177,
ESTRADIOL (ESTRACE) 0.5 MG  TAB,,6,
ESTRADIOL (VIVELLE) 0.075MG/DAY CH/PATCH,,34,
ESTRADIOL {CLIMARA} 0.025MG/DAY CH/PATCH,,25,
ESTRADIOL {CLIMARA} 0.05MG/DAY CH/PATCH,,25,
ESTRADIOL {CLIMARA} 0.075MG/DAY  CH/PATC,,40,
ESTRADIOL {CLIMARA} 0.1MG/DAY CH/PATCH,,17,
ESTRADIOL {ESTRACE} TAB  0.5MG,,4,
ESTRADIOL {ESTRACE} TAB 1MG,,6,
ESTRADIOL {GYNODIOL} TAB   2MG,,4,
ESTRADIOL VALERATE  10MG/ML 5ML CH/ML,J1380,36,
ESTROPIPATE 0.75MG TAB,,4,
ESZOPICLONE  (LUNESTA) TAB  2MG,,6,
ETCO2,94770,582,
ETHICON SECURESTRAP 5MM W/ABSORBABLE STP,C1781,1481,
ETHYL CHLORIDE SPRAY 3.5OZ,,5,
ETODOLAC  ER  500MG TAB,,4,
ETODOLAC 300MG CAP,,6,
ETODOLAC 400MG TABS {Lodine} UD,,6,
ETODOLAC TABS 500MG,,4,
EUCERIN CREAM 4OZ  CH 1(GEN),,18,
EVAL OF UTILIZAION OF AEROSOL/VAP INHALE,94664,36,
EVALUATE PATIENT USE OF INHALER(INITIAL),94664,352,
EVALUATION OF ORAL/PHARYNGEAL SWALLOW,92610GN,286,
EVALUATION/CONSULATATION III-38-52 MIN,97163GP,192,
EVALUATION/CONSULTATION 20 MIN,97161GP,123,
EVALUATION/CONSULTATION 20 MIN,97161GP,123,
EVALUATION/CONSULTATION II 30 MIN,97162GP,162,
EVAMIST 1.53MG/SP 8.1ML CH/ML,,27,
EXCEDRIN TAB,,6,
EXCEDRIN TAB 200MG-250MG-65MG,,4,
EXCHANGE (HME) GIBECK 003003,,19,
EXCISE OLECRANON BURSA,24105,6052,
EXCISE VAGINAL CYST OR TUMOR,57135,5968,
EXCISE/TRANSPOSITION PTERYGIUM; WO GRAFT,65420,2808,
EXCISION ANAL SKIN TAG,46220,3044,
EXCISION BENIGN LES SCALP/HANDS/FT/GENTI,11423,1773,
EXCISION BENIGN LESION .6-1.0CM,11421,1940,
EXCISION BENIGN LESION 0.5 CM OR LESS,11420,1347,
EXCISION BENIGN LESION FACE .6-1.0 CM,11441,765,
EXCISION BENIGN LESION FACE 3.1-4.0 CM,11444,1837,
EXCISION BENIGN LESION FACE/EEN2.1-3.0CM,11443,1496,
EXCISION BENIGN LESION SCALP 1.1-2.0  CM,11422,1837,
EXCISION BENIGN LESION TR/AR/L 1.1-2.0CM,11402,954,
EXCISION BENIGN LESION TRNK/EX 3.1-4.0CM,11404,1773,
EXCISION BENIGN LESION TRNK/EXTREM >4.0,11406,1888,
"EXCISION BENIGN LESION, SCALP 3.1-4.0 CM",11424,2877,
EXCISION BENIGN LESION/FACE 1.1-2.0 CM,11442,1933,
EXCISION BENIGN LESION/FACE/ERS/ELDS/NS,11440,203,
EXCISION BENIGN LESION/FACE/ERS/ELDS/NS,11441,255,
EXCISION BENIGN LESION/FACE/ERS/ELDS/NS,11442,278,
EXCISION BENIGN LESION/FACE/ERS/ELDS/NS,11443,354,
EXCISION BENIGN LESION/FACE/ERS/ELDS/NS,11444,457,
EXCISION BENIGN LESION/FACE/ERS/ELDS/NS,11446,624,
EXCISION BENIGN LESION/FACE/ERS/ELDS/NS,11440,1656,
EXCISION BENIGN LESION/SCALP/NK/HND/FT,11420,162,
EXCISION BENIGN LESION/SCALP/NK/HND/FT,11421,220,
EXCISION BENIGN LESION/SCALP/NK/HND/FT,11422,255,
EXCISION BENIGN LESION/SCALP/NK/HND/FT,11423,301,
EXCISION BENIGN LESION/SCALP/NK/HND/FT,11424,354,
EXCISION BENIGN LESION/SCALP/NK/HND/FT,11426,515,
EXCISION BENIGN LESION/SCALP/NK/HND/FT,11426,3336,
EXCISION BENIGN LESION/TRK/AMS/LGS/2.1-3,11403,1029,
EXCISION BONE CYST OR BENIGH TUMOR,28104,5789,
EXCISION BREAST LESION W/PREOP RAD MARKR,19125,3514,
EXCISION CYST BREAST FIBRDN BNGN/MLGNT,19120,3263,
EXCISION CYST PHALANGES FOOT,28108,3320,
EXCISION CYST/GANGLION - TOES,28092,3160,
EXCISION GANGLION CYST FOOT,28090,3259,
"EXCISION GANGLION CYST, RECURRENT",25112,3909,
"EXCISION GANGLION, WRIST",25111,2588,
"EXCISION HIDRADENITIS, AXILLARY",11450,6297,
"EXCISION HYDROCELE, UNILATERAL",55040,4820,
EXCISION INTERPHALANG TOE JNT EACH SGL,28160,4091,
EXCISION LESION JOINT CAPSULE,26160,3517,
EXCISION LESION OF SPERMATIC CORD,55520,3507,
EXCISION LYMPH NODES AXILLARY,38525,3607,
EXCISION MALG LESION H/F/NK 1.1-2.0 CM,11622,1496,
EXCISION MALG LESION H/F/NK 2.1-3.0 CM,11643,1496,
EXCISION MALG LESION H/F/NK 3.1-4.0CM,11624,1773,
EXCISION MALIGN LESION TRNK AR/L 1.1-2.0,11602,1427,
EXCISION MALIGN LESION TRNK AR/L 2.1-3.0,11603,1496,
EXCISION MALIGNANT LESION .5 CM <,11600,965,
EXCISION MALIGNANT LESION .5 CM OR LESS,11600,965,
EXCISION MALIGNANT LESION .6 TO 1.0 CM,11601,322,
EXCISION MALIGNANT LESION >4.0 CM,11606,1329,
EXCISION MALIGNANT LESION >4.0 CM,11626,3927,
EXCISION MALIGNANT LESION 1.1 TO 2.0 CM,11602,343,
EXCISION MALIGNANT LESION 1.1 TO 2.0 CM,11642,1026,
EXCISION MALIGNANT LESION 2.1 TO 3.0 CM,11603,379,
EXCISION MALIGNANT LESION 2.1 TO 3.0 CM,11623,1773,
EXCISION MALIGNANT LESION 3.1 TO 4.0 CM,11604,411,
EXCISION MALIGNANT LESION FACE >4.0 CM,11646,3775,
EXCISION MALIGNANT LESION FACE 0.6-1.0CM,11641,1940,
EXCISION MALIGNANT LESION FACE 3.1-4.0 C,11644,2550,
"EXCISION MALIGNANT LESION HANDS, NECK 0",11620,2112,
EXCISION MALIGNANT LESION SCALP 0.6-1.0C,11621,867,
EXCISION MALIGNANT LESION SCALP NK 2.1-3,11623,2210,
EXCISION MALIGNANT LESION SCALP/NK/.5CM<,11620,110,
EXCISION MALIGNANT LESION SCALP/NK/1.1/2,11622,370,
EXCISION MALIGNANT LESION TRNK/ARM .5CM<,11600,244,
EXCISION MALIGNANT LESION TRNK/ARM 2.1/3,11603,307,
EXCISION MALIGNANT LESION TRNK/EX >4CM,11606,1773,
EXCISION MALIGNANT LESION-FAC ERS .5 CM<,11640,752,
EXCISION MECKEL'S DIVERTICULUM,44800,2646,
"EXCISION MORTON NEUROMA, EA",28080,3018,
EXCISION NAIL/NAIL MATRIX,11750,636,
EXCISION NECK LESION <3CM,21555,3159,
EXCISION OF EXTERNAL THROMBOTIC HEMORRHO,46320,215,
EXCISION PARTIAL ANKLE OR HEELBONE,28120,3272,
EXCISION PARTIAL METATARSAL BONE,28122,3766,
EXCISION PILONIDAL CYST,11770,3316,
EXCISION PILONIDAL CYST - EXTENSIVE,11771,3835,
EXCISION PTERYGIUM W/GRAFT,65426,3756,
EXCISION SKIN & SUBCU TISSUE HIDRADENTIT,11462,3586,
EXCISION SOFT TISSUE TUMOR FOOT,28043,3510,
EXCISION THROMBOSED HEMORRHOID EXTERNAL,46320,3755,
EXCISION TOE PARTIAL BONE,28124,5800,
EXCISION TUMOR ABD WALL SUBCA,22902,3718,
EXCISION TUMOR ABD WALL SUBFASCIA <5CM,22900,4023,
EXCISION TUMOR ABDOMINAL WALL,22901,4190,
EXCISION TUMOR BACK SUBCUTANEOUS <3CM,21930,3641,
EXCISION TUMOR DEEP INTRAMUSCULAR,23073,4142,
EXCISION TUMOR DEEP UA OR ELBOW,24076,2297,
"EXCISION TUMOR FACE, SUBFASCIAL>2CM",21014,1691,
EXCISION TUMOR FOREARM <3CM,25075,3156,
EXCISION TUMOR NECK INTRAMUSCULAR >5CM,21554,6297,
EXCISION TUMOR SOFT TISSUE FOOT,28039,6297,
EXCISION TUMOR SOFT TISSUE NECK >3CM,21552,4281,
"EXCISION TUMOR SOFT TISSUE,HIP 3CM OR >",27043,3837,
EXCISION TUMOR SUBCU SHOULDER AREA,23075,3641,
"EXCISION TUMOR, ELBOW, SUBQ <3CM",24075,2787,
"EXCISION TUMOR, ELBOW, SUBQ -3CM OR GREA",24071,3725,
"EXCISION TUMOR, INTRAMUSCULAR>5CM",21933,2946,
"EXCISION TUMOR, SHOULDER, DEEP",23076,3317,
"EXCISION, BENIGN LESION, TRUNK .5CM",11400,966,
"EXCISION, BENIGN LESION, TRUNK .6CM -1CM",11401,1022,
"EXCISIONAL BIOPSY, LYMPH NODE",38500,3607,
EXELON  4.6MG/24HR PATCH,,36,
EXELON 13.3MG/24HR PATCH,,31,
EXELON PATCH 9.5MG/24HR,,21,
EXFORGE 10/160MG TABLET,,8,
EXFORGE 5MG/320MG TABLET,,7.4,
EXFORGE HCT 5MG/160MG/25MG TAB,,11,
EXFORGE TAB 5/160MG,,6,
EX-LAX REG ST (30tabs) EA,,6,
EXPLORATION OF PENETRATING WOUND,20103,1514,
EXPLORATION OF PENETRATING WOUND,20101,3175,
EXPLORE WOUND ABD/FLANK,20102,2628,
EXPLORE WOUND; EXTREMITY,20103,855,
EXPLORE/REMOVE FOREIGN BODY CMC JOINT,26070,2593,
EXTERNAL PACING,92953,64,
EXUDERM ODORSHEILD 4X4,,6,
EYE EX/TRM LM,92019,162,
EYE STREAM EYE WASH SOLN : CH/TREATMENT,,1.7,
EZETIMIBE (Zetia) TAB 10MG,,6,
EZFE CAPS 200MG,,6,
EZFE FORTE CAP,,6,
EZ-IO NEEDLE/STABILIZER 15MM,,579,
EZ-IO NEEDLE/STABILIZER 25MM,,579,
EZ-IO NEEDLE/STABILIZER 45MM,,579,
FACTOR V LEIDEN   ID 6911,81241,287,
FAMOTIDINE {PEPCID} TAB 20MG,,6,
FAMOTIDINE {PEPCID} TAB 20MG U/D,,6,
FAMOTIDINE 20MG/2ML VIAL,,25,
"FASCIECTOMY, PLANTAR FASCIA, PARTIA",28060,3273,
"FASCIOTOMY, FOOT AND TOE",28008,3523,
FE C TAB PLUS {ICAR C PLUS},,6,
FE-C TAB,,6,
FELODIPINE 5MG TAB {PLENDIL},,4,
Femara 2.5MG TAB,,42.4,
FENOFIBRATE  (TRICOR)  CAP : 134MG,,6,
FENOFIBRATE  (TRICOR)  TAB  145MG,,6,
FENOFIBRATE 160MG (TRICOR) TAB,,6,
FENOFIBRATE 48MG (TRICOR) TAB,,6,
FENOFIBRATE 54MG {TRICOR} TAB,,6,
FENOFIBRIC DR {TRILIPIX} : 135MG CAP,,11.5,
FENTANYL :  250mcg/5ML (50mcg/ml),,50,
FENTANYL {DURAGESIC} PATCH  100mcg UD,,45,
FENTANYL {DURAGESIC} PATCH  12mcg,,33,
FENTANYL {DURAGESIC} PATCH  25mcg UD,,30,
FENTANYL {DURAGESIC} PATCH  50mcg UD,,35,
FENTANYL {DURAGESIC} PATCH  75mcg UD,,54,
FENTANYL 100mcg/2ML,J3010,50,
FENTANYL 50mcg/ML 50ML  VIAL CH PER VIAL,J3010,41.85,
FERAHEME 510MG INJ 17ML  {NON/ESRD},Q0138,2267,
FERATAB {FEOSOL} TAB   325MG UD,,6,
FERATE TAB 27MG (ELEMENTAL IRON),,6,
FERRLECIT 62.5MG/5ML INJ,J2916,65,
FERROUS GLUCONATE 324MG,,6,
FERROUS SULF {FEOSOL} TAB  325MG,,6,
FE-TINIC 150 {NIFEREX-NU-IRON} UD,,6,
FEXOFENADINE / PSEUDOEP 24H  180/240MG,,6,
FEXOFENADINE /PSEUDOEPH TAB   60MG/120MG,,6,
FEXOFENADINE {Allegra} 60MG,,6,
FEXOFENADINE {Allegra} TAB  180MG UD,,6,
FIBERCON TABS O.T.C.(KONSYL),,6,
FILTER D/X7 PB 760,,36,
FILTER KOKO-MOE,,19,
FILTER PB VENTILATOR  NE4-010793-00,,27,
FILTER SMOKE EVACUATOR,,41,
FILTERS PALL,,25,
FILTERS PALL GAS LINE  BRO18,,15,
FILTERS UROLOGICAL,,6,
FINASTERIDE  5MG TABS {PROSCAR} UD,,6,
FINE NEEDLE ASPIRATION /WO IMAGING,10021,236,
FINGERTIP PULSE OXIMETER,,104,
FIPRONIL,,5,
FIRST OMEPRAZOLE 2MG/ML SUSP 300ML CH/ML,,0.38,
FIRST TESTOSTERONE 2% CREAM {PER GRAM},,1.48,
FISH OIL CAPS  1000MG UD,,6,
FISH OIL EC 1000MG  CAPS,,4,
FISSURECTOMY W/WO SPHINCTEROTOMY,46200,3792,
FITTING ORTHOTIC/EACH 15 MINUTES,97760GP,82,
FITTING ORTHOTIC/EACH 15 MINUTES,97760GP,82,
FLANGE FORMA FIT 14104,,3,
FLANGE GREEN 1 3/4,,3,
FLAREX OPTH SUSP. 5ML,,6.4,
FLECAINIDE (TAMBOCOR) TAB  100MG,,5,
FLECAINIDE {TAMBOCOR} TAB   50MG,,5,
FLINSTONES VITAMINS,,6,
FLINTSTONES VITAMIN,,15,
FLORAJEN CAP : 460MG UD,,4,
FLORASTOR CAP  250MG UD,,6,
Flovent HFA 110MCG  12GM CHG PER GM,,46.13,
Flovent HFA 220 MCG/12GM CH/GM,,26,
Flovent HFA 44MCG 10.6GM  CH/GM,,23.1,
FLUCONAZOLE {Diflucan} TAB  100MG UD,,6,
FLUCONAZOLE IV {Diflucan}   200MG/100ML,J1450,200,
FLUCONAZOLE IV {Diflucan}  : 400MG/200ML,J1450,200,
FLUCONAZOLE SUSP 40MG/ML  35ML CH/ML,,6.94,
FLUCONAZOLE TABS (Diflucan)  150MG UD,,8,
FLUDROCORTISONE {FLORINEF} TAB  0.1MG UD,,6,
FLUIDS D10W 1000 ML,J7070,80,
FLUIDS D5 1/2 NS 1000 ML UD,J7070,85,
FLUIDS D5 1/2 NS 500ML KIT UD,J7070,56,
FLUIDS D5 1/4 NS 500ML KIT,J7070,56,
FLUIDS D5LR  1000 ML KIT UD,J7121,72,
FLUIDS D5NS 1000 ML UD,J7042,85,
FLUIDS D5NS 500 ML KIT,J7042,56,
FLUIDS D5W  250ML KIT UD,J7070,56,
FLUIDS D5W 1000 ML KIT UD,J7070,76,
FLUIDS KCL 10MEQ / D5W 1000ML PREDEFINED,,95,
