SVCCD,Description,CPT,Gross Charge,As of Date,DISCOUNTED CASH PRICE INPATIENT,DISCOUNTED CASH PRICE OUTPATIENT,DE-IDENTIFIED MIN,DE-IDENTIFIED MAX,BCBSAL Total (IP & OP) PPO ,BCBSAL CHS EE PPO,Aetna PPO ,UHC PPO,Cigna PPO,Humana PPO,VIVA PPO ,UHC MCR ,Humana MCR ,BCBSAL MCR,Aetna/Coventry MCR,VIVA Health MCR,Multiplan 
1612319,LE-ANKLE 3VWS BI CR,73610,1831.92,2/6/22,549.576,641.172,111.74712,1018.54752,174.0324,146.5536,1018.54752,265.6284,269.29224,141.05784,309.59448,142.88976,142.88976,146.5536,155.7132,130.06632,111.74712
1216983,AMLODIPINE 5MG TAB,,0.15,2/6/22,0.045,0.0525,0.00915,0.0834,0.01425,0.012,0.0834,0.02175,0.02205,0.01155,0.02535,0.0117,0.0117,0.012,0.01275,0.01065,0.00915
1621639,US-BREAST LIMITED,76642,1366.29,2/6/22,409.887,478.2015,83.34369,759.65724,129.79755,109.3032,759.65724,198.11205,200.84463,105.20433,230.90301,106.57062,106.57062,109.3032,116.13465,97.00659,83.34369
1218035,MORPHINE 15MG SR TAB,,0.71,2/6/22,0.213,0.2485,0.04331,0.39476,0.06745,0.0568,0.39476,0.10295,0.10437,0.05467,0.11999,0.05538,0.05538,0.0568,0.06035,0.05041,0.04331
1314713,PARVOVIRUS AB,86747,228.54,2/6/22,68.562,79.989,13.94094,127.06824,21.7113,18.2832,127.06824,33.1383,33.59538,17.59758,38.62326,17.82612,17.82612,18.2832,19.4259,16.22634,13.94094
1621579,US-PLV PRG TRNSV,76817,2668.81,2/6/22,800.643,934.0835,162.79741,1483.85836,253.53695,213.5048,1483.85836,386.97745,392.31507,205.49837,451.02889,208.16718,208.16718,213.5048,226.84885,189.48551,162.79741
1321078,SURG PATH GROSS LVL4,88305,465.23,2/6/22,139.569,162.8305,28.37903,258.66788,44.19685,37.2184,258.66788,67.45835,68.38881,35.82271,78.62387,36.28794,36.28794,37.2184,39.54455,33.03133,28.37903
1314891,SMEARWET MOUNT SAL-I,87210,114.27,2/6/22,34.281,39.9945,6.97047,63.53412,10.85565,9.1416,63.53412,16.56915,16.79769,8.79879,19.31163,8.91306,8.91306,9.1416,9.71295,8.11317,6.97047
1414676,INT SHTH FIX NO-PL 2,C1893,10204.44,2/6/22,3061.332,3571.554,622.47084,5673.66864,969.4218,816.3552,5673.66864,1479.6438,1500.05268,785.74188,1724.55036,795.94632,795.94632,816.3552,867.3774,724.51524,622.47084
1061377,IR-INTRAVASC US INI,SURG,1081.76,2/6/22,324.528,378.616,65.98736,601.45856,102.7672,86.5408,601.45856,156.8552,159.01872,83.29552,182.81744,84.37728,84.37728,86.5408,91.9496,76.80496,65.98736
1218089,NIFEDIPINE 10MG CAP,,2.79,2/6/22,0.837,0.9765,0.17019,1.55124,0.26505,0.2232,1.55124,0.40455,0.41013,0.21483,0.47151,0.21762,0.21762,0.2232,0.23715,0.19809,0.17019
1211366,LEVOCETIR DIHY 5MGTB,,2.79,2/6/22,0.837,0.9765,0.17019,1.55124,0.26505,0.2232,1.55124,0.40455,0.41013,0.21483,0.47151,0.21762,0.21762,0.2232,0.23715,0.19809,0.17019
1217466,ISONIAZID 300MG TAB,,0.29,2/6/22,0.087,0.1015,0.01769,0.16124,0.02755,0.0232,0.16124,0.04205,0.04263,0.02233,0.04901,0.02262,0.02262,0.0232,0.02465,0.02059,0.01769
1217880,PROBENECID 500MG TAB,,0.15,2/6/22,0.045,0.0525,0.00915,0.0834,0.01425,0.012,0.0834,0.02175,0.02205,0.01155,0.02535,0.0117,0.0117,0.012,0.01275,0.01065,0.00915
2811480,S-SINUS TRCT INJ DIA,SURG,527.1,2/6/22,158.13,184.485,32.1531,293.0676,50.0745,42.168,293.0676,76.4295,77.4837,40.5867,89.0799,41.1138,41.1138,42.168,44.8035,37.4241,32.1531
7210092,ALBUTEROL 1.25/3ML,,4.78,2/6/22,1.434,1.673,0.29158,2.65768,0.4541,0.3824,2.65768,0.6931,0.70266,0.36806,0.80782,0.37284,0.37284,0.3824,0.4063,0.33938,0.29158
1314675,"EPSTEIN-BARR, EBNA",86664,118.93,2/6/22,35.679,41.6255,7.25473,66.12508,11.29835,9.5144,66.12508,17.24485,17.48271,9.15761,20.09917,9.27654,9.27654,9.5144,10.10905,8.44403,7.25473
7211979,"CALCITONIN,SAL 400IU",J0630,11443.65,2/6/22,3433.095,4005.2775,698.06265,6362.6694,1087.14675,915.492,6362.6694,1659.32925,1682.21655,881.16105,1933.97685,892.6047,892.6047,915.492,972.71025,812.49915,698.06265
1218821,LIDOCAINE-MPF1% 2ML,,224.91,2/6/22,67.473,78.7185,13.71951,125.04996,21.36645,17.9928,125.04996,32.61195,33.06177,17.31807,38.00979,17.54298,17.54298,17.9928,19.11735,15.96861,13.71951
1641048,MR-ORBT FAC NCK WWO,70543,8699.5,2/6/22,2609.85,3044.825,530.6695,4836.922,826.4525,695.96,4836.922,1261.4275,1278.8265,669.8615,1470.2155,678.561,678.561,695.96,739.4575,617.6645,530.6695
1216945,ACETAMINOPH 500MG TB,,1.14,2/6/22,0.342,0.399,0.06954,0.63384,0.1083,0.0912,0.63384,0.1653,0.16758,0.08778,0.19266,0.08892,0.08892,0.0912,0.0969,0.08094,0.06954
7210310,PHENOBARB 16.2MG PO,,1.1,2/6/22,0.33,0.385,0.0671,0.6116,0.1045,0.088,0.6116,0.1595,0.1617,0.0847,0.1859,0.0858,0.0858,0.088,0.0935,0.0781,0.0671
1612458,LE-HIP PLV BI 2V CR,73521,388.15,2/6/22,116.445,135.8525,23.67715,215.8114,36.87425,31.052,215.8114,56.28175,57.05805,29.88755,65.59735,30.2757,30.2757,31.052,32.99275,27.55865,23.67715
1217390,DIAZEPAM 5MG TAB,,0.15,2/6/22,0.045,0.0525,0.00915,0.0834,0.01425,0.012,0.0834,0.02175,0.02205,0.01155,0.02535,0.0117,0.0117,0.012,0.01275,0.01065,0.00915
7210819,METRONIDAZ SR 750MG,,20.96,2/6/22,6.288,7.336,1.27856,11.65376,1.9912,1.6768,11.65376,3.0392,3.08112,1.61392,3.54224,1.63488,1.63488,1.6768,1.7816,1.48816,1.27856
1217991,METOPROLO 1MG/ML 5ML,,224.91,2/6/22,67.473,78.7185,13.71951,125.04996,21.36645,17.9928,125.04996,32.61195,33.06177,17.31807,38.00979,17.54298,17.54298,17.9928,19.11735,15.96861,13.71951
1621561,US-ABD RETROPER DPLX,93976,1268.55,2/6/22,380.565,443.9925,77.38155,705.3138,120.51225,101.484,705.3138,183.93975,186.47685,97.67835,214.38495,98.9469,98.9469,101.484,107.82675,90.06705,77.38155
1212365,EPIFIX SQ CM,Q4186,13505.46,2/6/22,4051.638,4726.911,823.83306,7509.03576,1283.0187,1080.4368,7509.03576,1958.2917,1985.30262,1039.92042,2282.42274,1053.42588,1053.42588,1080.4368,1147.9641,958.88766,823.83306
1217148,TRETINOIN 10MG CAP,,27.93,2/6/22,8.379,9.7755,1.70373,15.52908,2.65335,2.2344,15.52908,4.04985,4.10571,2.15061,4.72017,2.17854,2.17854,2.2344,2.37405,1.98303,1.70373
1212625,HEPARIN 1000U INJ,J1644,224.91,2/6/22,67.473,78.7185,13.71951,125.04996,21.36645,17.9928,125.04996,32.61195,33.06177,17.31807,38.00979,17.54298,17.54298,17.9928,19.11735,15.96861,13.71951
2811213,TC99M MAA/10MCI,A9540,2626.77,2/6/22,788.031,919.3695,160.23297,1460.48412,249.54315,210.1416,1460.48412,380.88165,386.13519,202.26129,443.92413,204.88806,204.88806,210.1416,223.27545,186.50067,160.23297
2811439,S-INJ ILEAL CONDUIT,50690,381.76,2/6/22,114.528,133.616,23.28736,212.25856,36.2672,30.5408,212.25856,55.3552,56.11872,29.39552,64.51744,29.77728,29.77728,30.5408,32.4496,27.10496,23.28736
1218933,THEOPHYLL 200MG SRTB,,0.29,2/6/22,0.087,0.1015,0.01769,0.16124,0.02755,0.0232,0.16124,0.04205,0.04263,0.02233,0.04901,0.02262,0.02262,0.0232,0.02465,0.02059,0.01769
7212286,PANITUMUMAB 10MG IJ,J9303,2284.42,2/6/22,685.326,799.547,139.34962,1270.13752,217.0199,182.7536,1270.13752,331.2409,335.80974,175.90034,386.06698,178.18476,178.18476,182.7536,194.1757,162.19382,139.34962
265210,R&B CCU,,3155,2/6/22,946.5,1104.25,192.455,1754.18,299.725,252.4,1754.18,457.475,463.785,242.935,533.195,246.09,246.09,252.4,268.175,224.005,192.455
1864959,WK HR-CD 1ST 2HR OT,97545,674.98,2/6/22,202.494,236.243,41.17378,375.28888,64.1231,53.9984,375.28888,97.8721,99.22206,51.97346,114.07162,52.64844,52.64844,53.9984,57.3733,47.92358,41.17378
282940,THERAPEUTIC IV PUSH,96374,1759.54,2/6/22,527.862,615.839,107.33194,978.30424,167.1563,140.7632,978.30424,255.1333,258.65238,135.48458,297.36226,137.24412,137.24412,140.7632,149.5609,124.92734,107.33194
7212006,HYDROCORTIS 100MGINJ,J1720,153,2/6/22,45.9,53.55,9.333,85.068,14.535,12.24,85.068,22.185,22.491,11.781,25.857,11.934,11.934,12.24,13.005,10.863,9.333
1641019,MR-LW JOINT WWO,73723,6223.2,2/6/22,1866.96,2178.12,379.6152,3460.0992,591.204,497.856,3460.0992,902.364,914.8104,479.1864,1051.7208,485.4096,485.4096,497.856,528.972,441.8472,379.6152
1855042,CM-WK REIN-15MN COTA,97537,161.36,2/6/22,48.408,56.476,9.84296,89.71616,15.3292,12.9088,89.71616,23.3972,23.71992,12.42472,27.26984,12.58608,12.58608,12.9088,13.7156,11.45656,9.84296
1314621,IMMUNOFIXATION ELECT,86334,291.5,2/6/22,87.45,102.025,17.7815,162.074,27.6925,23.32,162.074,42.2675,42.8505,22.4455,49.2635,22.737,22.737,23.32,24.7775,20.6965,17.7815
7210886,PEG-KCL-NACL/SUL/ACO,,777.9,2/6/22,233.37,272.265,47.4519,432.5124,73.9005,62.232,432.5124,112.7955,114.3513,59.8983,131.4651,60.6762,60.6762,62.232,66.1215,55.2309,47.4519
1221014,RINGER LAC UP TO 1L,J7120,432.79,2/6/22,129.837,151.4765,26.40019,240.63124,41.11505,34.6232,240.63124,62.75455,63.62013,33.32483,73.14151,33.75762,33.75762,34.6232,36.78715,30.72809,26.40019
1212337,LINAGLIPTIN 5MG TAB,,11.18,2/6/22,3.354,3.913,0.68198,6.21608,1.0621,0.8944,6.21608,1.6211,1.64346,0.86086,1.88942,0.87204,0.87204,0.8944,0.9503,0.79378,0.68198
1217957,EZETIMIBE 10MG TAB,,8.37,2/6/22,2.511,2.9295,0.51057,4.65372,0.79515,0.6696,4.65372,1.21365,1.23039,0.64449,1.41453,0.65286,0.65286,0.6696,0.71145,0.59427,0.51057
1211342,TERIPARAT 60MCG/2.4,,17959.56,2/6/22,5387.868,6285.846,1095.53316,9985.51536,1706.1582,1436.7648,9985.51536,2604.1362,2640.05532,1382.88612,3035.16564,1400.84568,1400.84568,1436.7648,1526.5626,1275.12876,1095.53316
1317071,SNRPN-UBE3A METHYL,81331,297.33,2/6/22,89.199,104.0655,18.13713,165.31548,28.24635,23.7864,165.31548,43.11285,43.70751,22.89441,50.24877,23.19174,23.19174,23.7864,25.27305,21.11043,18.13713
1219749,AMOXICILLIN 875MGTAB,,0.29,2/6/22,0.087,0.1015,0.01769,0.16124,0.02755,0.0232,0.16124,0.04205,0.04263,0.02233,0.04901,0.02262,0.02262,0.0232,0.02465,0.02059,0.01769
1217575,DIPHENO2.5-ATR.025TB,,0.55,2/6/22,0.165,0.1925,0.03355,0.3058,0.05225,0.044,0.3058,0.07975,0.08085,0.04235,0.09295,0.0429,0.0429,0.044,0.04675,0.03905,0.03355
1131111,ANES LV 1 INI 15 MIN,,939.51,2/6/22,281.853,328.8285,57.31011,522.36756,89.25345,75.1608,522.36756,136.22895,138.10797,72.34227,158.77719,73.28178,73.28178,75.1608,79.85835,66.70521,57.31011
1314326,HOMOVANILLIC ACID,83150,130.59,2/6/22,39.177,45.7065,7.96599,72.60804,12.40605,10.4472,72.60804,18.93555,19.19673,10.05543,22.06971,10.18602,10.18602,10.4472,11.10015,9.27189,7.96599
1061523,S-TIB PER REVAS STNT,SURG,41590.02,2/6/22,12477.006,14556.507,2536.99122,23124.05112,3951.0519,3327.2016,23124.05112,6030.5529,6113.73294,3202.43154,7028.71338,3244.02156,3244.02156,3327.2016,3535.1517,2952.89142,2536.99122
1417057,TISSUE NON-HUMAN 9,C1763,34707.99,2/6/22,10412.397,12147.7965,2117.18739,19297.64244,3297.25905,2776.6392,19297.64244,5032.65855,5102.07453,2672.51523,5865.65031,2707.22322,2707.22322,2776.6392,2950.17915,2464.26729,2117.18739
1217492,LAMIVUDINE 150MG TAB,,2.32,2/6/22,0.696,0.812,0.14152,1.28992,0.2204,0.1856,1.28992,0.3364,0.34104,0.17864,0.39208,0.18096,0.18096,0.1856,0.1972,0.16472,0.14152
1314939,"AG DETEC NOS,EIA MUL",87449,194.72,2/6/22,58.416,68.152,11.87792,108.26432,18.4984,15.5776,108.26432,28.2344,28.62384,14.99344,32.90768,15.18816,15.18816,15.5776,16.5512,13.82512,11.87792
1651012,NM-THYROID CA UPTAKE,78020,1503.63,2/6/22,451.089,526.2705,91.72143,836.01828,142.84485,120.2904,836.01828,218.02635,221.03361,115.77951,254.11347,117.28314,117.28314,120.2904,127.80855,106.75773,91.72143
1219352,GENTAMIC .1%CRM 30GM,,48.9,2/6/22,14.67,17.115,2.9829,27.1884,4.6455,3.912,27.1884,7.0905,7.1883,3.7653,8.2641,3.8142,3.8142,3.912,4.1565,3.4719,2.9829
1651146,NM-LUNG VENT PERFUS,78582,4502.76,2/6/22,1350.828,1575.966,274.66836,2503.53456,427.7622,360.2208,2503.53456,652.9002,661.90572,346.71252,760.96644,351.21528,351.21528,360.2208,382.7346,319.69596,274.66836
1314565,PLATELET AB,86022,440.75,2/6/22,132.225,154.2625,26.88575,245.057,41.87125,35.26,245.057,63.90875,64.79025,33.93775,74.48675,34.3785,34.3785,35.26,37.46375,31.29325,26.88575
1317097,MOLEC PATH LEV 7,81406,6653.2,2/6/22,1995.96,2328.62,405.8452,3699.1792,632.054,532.256,3699.1792,964.714,978.0204,512.2964,1124.3908,518.9496,518.9496,532.256,565.522,472.3772,405.8452
1314573,BETA-2 GLYCOPROT AB,86146,202.88,2/6/22,60.864,71.008,12.37568,112.80128,19.2736,16.2304,112.80128,29.4176,29.82336,15.62176,34.28672,15.82464,15.82464,16.2304,17.2448,14.40448,12.37568
1314426,"PHOSPHORUS, URINE",84105,83.95,2/6/22,25.185,29.3825,5.12095,46.6762,7.97525,6.716,46.6762,12.17275,12.34065,6.46415,14.18755,6.5481,6.5481,6.716,7.13575,5.96045,5.12095
1218091,NITROFURANTOIN50MGCP,,2.79,2/6/22,0.837,0.9765,0.17019,1.55124,0.26505,0.2232,1.55124,0.40455,0.41013,0.21483,0.47151,0.21762,0.21762,0.2232,0.23715,0.19809,0.17019
2850078,IR-TC PLC STN ART EA,SURG,39480.63,2/6/22,11844.189,13818.2205,2408.31843,21951.23028,3750.65985,3158.4504,21951.23028,5724.69135,5803.65261,3040.00851,6672.22647,3079.48914,3079.48914,3158.4504,3355.85355,2803.12473,2408.31843
1218098,NITROGLYC .2MG/HR PT,,6.78,2/6/22,2.034,2.373,0.41358,3.76968,0.6441,0.5424,3.76968,0.9831,0.99666,0.52206,1.14582,0.52884,0.52884,0.5424,0.5763,0.48138,0.41358
1710902,SUCTION PROC-NASOTRA,31720,333.88,2/6/22,100.164,116.858,20.36668,185.63728,31.7186,26.7104,185.63728,48.4126,49.08036,25.70876,56.42572,26.04264,26.04264,26.7104,28.3798,23.70548,20.36668
282851,OB TRIAGE LVL 1 EP,G0463,331.01,2/6/22,99.303,115.8535,20.19161,184.04156,31.44595,26.4808,184.04156,47.99645,48.65847,25.48777,55.94069,25.81878,25.81878,26.4808,28.13585,23.50171,20.19161
1581011,BR-DIG MAMMO BILAT,77066,1108.56,2/6/22,332.568,387.996,67.62216,616.35936,105.3132,88.6848,616.35936,160.7412,162.95832,85.35912,187.34664,86.46768,86.46768,88.6848,94.2276,78.70776,67.62216
1872190,EVAL VOICE PROS DEV,92597,706.21,2/6/22,211.863,247.1735,43.07881,392.65276,67.08995,56.4968,392.65276,102.40045,103.81287,54.37817,119.34949,55.08438,55.08438,56.4968,60.02785,50.14091,43.07881
1610056,UE-CLAVICLE DR,73000,792.34,2/6/22,237.702,277.319,48.33274,440.54104,75.2723,63.3872,440.54104,114.8893,116.47398,61.01018,133.90546,61.80252,61.80252,63.3872,67.3489,56.25614,48.33274
1219691,DILTIAZE 120MG SR CP,,0.43,2/6/22,0.129,0.1505,0.02623,0.23908,0.04085,0.0344,0.23908,0.06235,0.06321,0.03311,0.07267,0.03354,0.03354,0.0344,0.03655,0.03053,0.02623
1221005,D10W 250ML,,432.79,2/6/22,129.837,151.4765,26.40019,240.63124,41.11505,34.6232,240.63124,62.75455,63.62013,33.32483,73.14151,33.75762,33.75762,34.6232,36.78715,30.72809,26.40019
1214090,AZILS40-CHLOR25MG TB,,5.99,2/6/22,1.797,2.0965,0.36539,3.33044,0.56905,0.4792,3.33044,0.86855,0.88053,0.46123,1.01231,0.46722,0.46722,0.4792,0.50915,0.42529,0.36539
1413121,EAR TUBES DRAINAGE 1,C1889,1135.59,2/6/22,340.677,397.4565,69.27099,631.38804,107.88105,90.8472,631.38804,164.66055,166.93173,87.44043,191.91471,88.57602,88.57602,90.8472,96.52515,80.62689,69.27099
7211381,NICARDIPINE 30MG CP,,0.84,2/6/22,0.252,0.294,0.05124,0.46704,0.0798,0.0672,0.46704,0.1218,0.12348,0.06468,0.14196,0.06552,0.06552,0.0672,0.0714,0.05964,0.05124
1217406,DILTIAZE 180MG SR CP,,0.43,2/6/22,0.129,0.1505,0.02623,0.23908,0.04085,0.0344,0.23908,0.06235,0.06321,0.03311,0.07267,0.03354,0.03354,0.0344,0.03655,0.03053,0.02623
1317003,BCR-ABL1 MINOR QL-QN,81207,938.63,2/6/22,281.589,328.5205,57.25643,521.87828,89.16985,75.0904,521.87828,136.10135,137.97861,72.27451,158.62847,73.21314,73.21314,75.0904,79.78355,66.64273,57.25643
1211103,DEXAMETH 0.25MG ORAL,J8540,0.05,2/6/22,0.015,0.0175,0.00305,0.0278,0.00475,0.004,0.0278,0.00725,0.00735,0.00385,0.00845,0.0039,0.0039,0.004,0.00425,0.00355,0.00305
1218293,SOD BICARB 4.2% 10ML,,224.91,2/6/22,67.473,78.7185,13.71951,125.04996,21.36645,17.9928,125.04996,32.61195,33.06177,17.31807,38.00979,17.54298,17.54298,17.9928,19.11735,15.96861,13.71951
1217087,BUPROPION 75MG TAB,,0.71,2/6/22,0.213,0.2485,0.04331,0.39476,0.06745,0.0568,0.39476,0.10295,0.10437,0.05467,0.11999,0.05538,0.05538,0.0568,0.06035,0.05041,0.04331
1215500,REMDESIVIR 1MG INJ,J0248,7.8,2/6/22,2.34,2.73,0.4758,4.3368,0.741,0.624,4.3368,1.131,1.1466,0.6006,1.3182,0.6084,0.6084,0.624,0.663,0.5538,0.4758
2070202,LEVEL 2 EP,G0463,511.17,2/6/22,153.351,178.9095,31.18137,284.21052,48.56115,40.8936,284.21052,74.11965,75.14199,39.36009,86.38773,39.87126,39.87126,40.8936,43.44945,36.29307,31.18137
1414603,GRAFT VASCULAR 4,C1768,11453.86,2/6/22,3436.158,4008.851,698.68546,6368.34616,1088.1167,916.3088,6368.34616,1660.8097,1683.71742,881.94722,1935.70234,893.40108,893.40108,916.3088,973.5781,813.22406,698.68546
1217766,CAPSAICIN.025%CR 60G,,13.3,2/6/22,3.99,4.655,0.8113,7.3948,1.2635,1.064,7.3948,1.9285,1.9551,1.0241,2.2477,1.0374,1.0374,1.064,1.1305,0.9443,0.8113
1212449,ESTROGEN VAG CR 30GM,,402.01,2/6/22,120.603,140.7035,24.52261,223.51756,38.19095,32.1608,223.51756,58.29145,59.09547,30.95477,67.93969,31.35678,31.35678,32.1608,34.17085,28.54271,24.52261
1217939,VITAMIN E 400IU CAP,,0.15,2/6/22,0.045,0.0525,0.00915,0.0834,0.01425,0.012,0.0834,0.02175,0.02205,0.01155,0.02535,0.0117,0.0117,0.012,0.01275,0.01065,0.00915
1691207,IR-ANG CARTD IPS BI,36223,26320.41,2/6/22,7896.123,9212.1435,1605.54501,14634.14796,2500.43895,2105.6328,14634.14796,3816.45945,3869.10027,2026.67157,4448.14929,2052.99198,2052.99198,2105.6328,2237.23485,1868.74911,1605.54501
1050146,NI-HOLT WSCAN 7D-15D,93247,1998.25,2/6/22,599.475,699.3875,121.89325,1111.027,189.83375,159.86,1111.027,289.74625,293.74275,153.86525,337.70425,155.8635,155.8635,159.86,169.85125,141.87575,121.89325
1610147,LE-KNEE 4VWPLS BI DR,73564,1266.53,2/6/22,379.959,443.2855,77.25833,704.19068,120.32035,101.3224,704.19068,183.64685,186.17991,97.52281,214.04357,98.78934,98.78934,101.3224,107.65505,89.92363,77.25833
7210264,DULOXETINE 30MG CAP,,5.6,2/6/22,1.68,1.96,0.3416,3.1136,0.532,0.448,3.1136,0.812,0.8232,0.4312,0.9464,0.4368,0.4368,0.448,0.476,0.3976,0.3416
1316451,VALPROIC ACID FREE,80165,90.95,2/6/22,27.285,31.8325,5.54795,50.5682,8.64025,7.276,50.5682,13.18775,13.36965,7.00315,15.37055,7.0941,7.0941,7.276,7.73075,6.45745,5.54795
1510144,RT-RAD TX SPECIAL,77470,1974.77,2/6/22,592.431,691.1695,120.46097,1097.97212,187.60315,157.9816,1097.97212,286.34165,290.29119,152.05729,333.73613,154.03206,154.03206,157.9816,167.85545,140.20867,120.46097
1212901,HYDROXOCOBAL 5GM INJ,,7983.95,2/6/22,2395.185,2794.3825,487.02095,4439.0762,758.47525,638.716,4439.0762,1157.67275,1173.64065,614.76415,1349.28755,622.7481,622.7481,638.716,678.63575,566.86045,487.02095
1631520,CT-ORBIT EAR WO,70480,2162.2,2/6/22,648.66,756.77,131.8942,1202.1832,205.409,172.976,1202.1832,313.519,317.8434,166.4894,365.4118,168.6516,168.6516,172.976,183.787,153.5162,131.8942
1212507,HEP A PED/ADOL X2 IM,90633,273.8,2/6/22,82.14,95.83,16.7018,152.2328,26.011,21.904,152.2328,39.701,40.2486,21.0826,46.2722,21.3564,21.3564,21.904,23.273,19.4398,16.7018
7211847,OCTREOTIDE ND 25MCG,J2354,95.52,2/6/22,28.656,33.432,5.82672,53.10912,9.0744,7.6416,53.10912,13.8504,14.04144,7.35504,16.14288,7.45056,7.45056,7.6416,8.1192,6.78192,5.82672
2811516,S-INTROCATH AORTA,36200,921.8,2/6/22,276.54,322.63,56.2298,512.5208,87.571,73.744,512.5208,133.661,135.5046,70.9786,155.7842,71.9004,71.9004,73.744,78.353,65.4478,56.2298
1213151,BROMFENA .09%OS 1.7M,,537.6,2/6/22,161.28,188.16,32.7936,298.9056,51.072,43.008,298.9056,77.952,79.0272,41.3952,90.8544,41.9328,41.9328,43.008,45.696,38.1696,32.7936
265110,R&B M/S PRIVATE,,1406,2/6/22,421.8,492.1,85.766,781.736,133.57,112.48,781.736,203.87,206.682,108.262,237.614,109.668,109.668,112.48,119.51,99.826,85.766
1218233,PYRIDOSTIGMI 60MG TB,,0.55,2/6/22,0.165,0.1925,0.03355,0.3058,0.05225,0.044,0.3058,0.07975,0.08085,0.04235,0.09295,0.0429,0.0429,0.044,0.04675,0.03905,0.03355
1314683,HEMOPHILUS INFLUENZA,86684,102.61,2/6/22,30.783,35.9135,6.25921,57.05116,9.74795,8.2088,57.05116,14.87845,15.08367,7.90097,17.34109,8.00358,8.00358,8.2088,8.72185,7.28531,6.25921
1913263,IMM ADM FLU VACCINE,G0008,361.99,2/6/22,108.597,126.6965,22.08139,201.26644,34.38905,28.9592,201.26644,52.48855,53.21253,27.87323,61.17631,28.23522,28.23522,28.9592,30.76915,25.70129,22.08139
7212157,PYRIDOXINE 100MG INJ,J3415,252.62,2/6/22,75.786,88.417,15.40982,140.45672,23.9989,20.2096,140.45672,36.6299,37.13514,19.45174,42.69278,19.70436,19.70436,20.2096,21.4727,17.93602,15.40982
1210060,MICONAZ 2%VAG CR 45G,,4.01,2/6/22,1.203,1.4035,0.24461,2.22956,0.38095,0.3208,2.22956,0.58145,0.58947,0.30877,0.67769,0.31278,0.31278,0.3208,0.34085,0.28471,0.24461
7211116,DORZOLAMID 2%OS 10ML,,170.98,2/6/22,51.294,59.843,10.42978,95.06488,16.2431,13.6784,95.06488,24.7921,25.13406,13.16546,28.89562,13.33644,13.33644,13.6784,14.5333,12.13958,10.42978
1414575,GENRATR NEUROSTM 1,C1767,99999.59,2/6/22,29999.877,34999.8565,6099.97499,55599.77204,9499.96105,7999.9672,55599.77204,14499.94055,14699.93973,7699.96843,16899.93071,7799.96802,7799.96802,7999.9672,8499.96515,7099.97089,6099.97499
282831,LDR PROCEDURE MINOR,SURG,82.16,2/6/22,24.648,28.756,5.01176,45.68096,7.8052,6.5728,45.68096,11.9132,12.07752,6.32632,13.88504,6.40848,6.40848,6.5728,6.9836,5.83336,5.01176
1314104,ADENOSINE CYCL AMP,82030,166.74,2/6/22,50.022,58.359,10.17114,92.70744,15.8403,13.3392,92.70744,24.1773,24.51078,12.83898,28.17906,13.00572,13.00572,13.3392,14.1729,11.83854,10.17114
1691334,US-ABDOMEN LTD WO,76705,2214.36,2/6/22,664.308,775.026,135.07596,1231.18416,210.3642,177.1488,1231.18416,321.0822,325.51092,170.50572,374.22684,172.72008,172.72008,177.1488,188.2206,157.21956,135.07596
2850048,S-ILIAC REVAS STNT A,SURG,19156.39,2/6/22,5746.917,6704.7365,1168.53979,10650.95284,1819.85705,1532.5112,10650.95284,2777.67655,2815.98933,1475.04203,3237.42991,1494.19842,1494.19842,1532.5112,1628.29315,1360.10369,1168.53979
1854963,PHYS PERF-15 MIN OT,97750,246.38,2/6/22,73.914,86.233,15.02918,136.98728,23.4061,19.7104,136.98728,35.7251,36.21786,18.97126,41.63822,19.21764,19.21764,19.7104,20.9423,17.49298,15.02918
1414851,PROBE CRYOABLATION 2,C2618,29571.66,2/6/22,8871.498,10350.081,1803.87126,16441.84296,2809.3077,2365.7328,16441.84296,4287.8907,4347.03402,2277.01782,4997.61054,2306.58948,2306.58948,2365.7328,2513.5911,2099.58786,1803.87126
1316706,DEF DRUG NOS MS 7PL,80377,89.78,2/6/22,26.934,31.423,5.47658,49.91768,8.5291,7.1824,49.91768,13.0181,13.19766,6.91306,15.17282,7.00284,7.00284,7.1824,7.6313,6.37438,5.47658
7210241,FENOFIBRAT 145MG TAB,,58.55,2/6/22,17.565,20.4925,3.57155,32.5538,5.56225,4.684,32.5538,8.48975,8.60685,4.50835,9.89495,4.5669,4.5669,4.684,4.97675,4.15705,3.57155
1314895,VIRUS INOCULAT TISSU,87252,277.51,2/6/22,83.253,97.1285,16.92811,154.29556,26.36345,22.2008,154.29556,40.23895,40.79397,21.36827,46.89919,21.64578,21.64578,22.2008,23.58835,19.70321,16.92811
7212164,DEXTRAN 40 500ML INF,J7100,454.41,2/6/22,136.323,159.0435,27.71901,252.65196,43.16895,36.3528,252.65196,65.88945,66.79827,34.98957,76.79529,35.44398,35.44398,36.3528,38.62485,32.26311,27.71901
2811665,S-INTERDISK PERQ ASP,SURG,2160.95,2/6/22,648.285,756.3325,131.81795,1201.4882,205.29025,172.876,1201.4882,313.33775,317.65965,166.39315,365.20055,168.5541,168.5541,172.876,183.68075,153.42745,131.81795
